hot-points_range=100,15713,10662,15692
point-query_range=100,278635,290948,291001
points-covered-pk_range=100,9113,9888,9978
points-covered-si_range=100,21384,21482,23282
points-notcovered-pk_range=100,9053,9848,9909
points-notcovered-si_range=100,6058,6686,6779
random-points_range=1000,931,1005,1001
random-points_range=100,9065,9841,9916
random-points_range=10,75022,78419,82456
range-covered-pk_range=100,133583,132454,143460
range-covered-si_range=100,210466,211952,216446
range-notcovered-pk_range=100,123995,129707,134815
range-notcovered-si_range=100,8694,9587,9513
read-only-count_range=1000,34704,37226,36558
read-only-distinct_range=1000,51328,51501,51548
read-only-order_range=1000,172271,168868,179966
read-only_range=10000,5271,5421,5441
read-only_range=100,141029,134853,145880
read-only_range=10,176618,179737,184466
read-only-simple_range=1000,186585,183092,199378
read-only-sum_range=1000,208624,222424,227440
scan_range=100,89000,90500,90500
delete_range=100,44861,47056,46138
insert_range=100,49643,55122,53222
read-write_range=100,139589,133517,135140
read-write_range=10,166281,156759,158537
update-index_range=100,44515,47876,46380
update-inlist_range=100,17974,19433,19236
update-nonindex_range=100,49177,53371,51269
update-one_range=100,16036,16730,16663
update-zipf_range=100,50490,54185,52762
write-only_range=10000,143853,147804,146191
