Relative to: x.my8040_rel_o2nofp.z11e_glibcmalloc_c32r128.pk1
col-1 : x.my8040_rel_o2nofp.z11e_tcmalloc_c32r128.pk1
col-2 : x.my8040_rel_o2nofp.z11e_jemalloc_c32r128.pk1

col-1	col-2
0.99	1.02	hot-points_range=100
1.05	1.04	point-query_range=100
0.96	0.99	points-covered-pk_range=100
0.98	0.99	points-covered-si_range=100
0.96	0.99	points-notcovered-pk_range=100
0.97	0.98	points-notcovered-si_range=100
0.97	1.00	random-points_range=1000
0.95	0.99	random-points_range=100
0.99	0.99	random-points_range=10
1.04	1.03	range-covered-pk_range=100
1.05	1.07	range-covered-si_range=100
1.04	1.03	range-notcovered-pk_range=100
0.98	1.00	range-notcovered-si_range=100
1.02	1.02	read-only-count_range=1000
1.05	1.07	read-only-distinct_range=1000
1.07	1.12	read-only-order_range=1000
1.28	1.09	read-only_range=10000
1.03	1.05	read-only_range=100
1.05	1.08	read-only_range=10
1.08	1.07	read-only-simple_range=1000
1.04	1.03	read-only-sum_range=1000
1.02	1.02	scan_range=100
1.01	1.00	delete_range=100
1.03	1.01	insert_range=100
1.02	1.02	read-write_range=100
1.03	1.03	read-write_range=10
1.01	1.02	update-index_range=100
1.15	0.98	update-inlist_range=100
1.06	0.99	update-nonindex_range=100
1.03	1.03	update-one_range=100
1.02	1.01	update-zipf_range=100
1.18	1.05	write-only_range=10000
