col-1 : x.ma100230_rel_withdbg.z12a_c8r32.pk1
col-2 : x.ma100244_rel_withdbg.z12a_c8r32.pk1
col-3 : x.ma100339_rel_withdbg.z12a_c8r32.pk1
col-4 : x.ma100434_rel_withdbg.z12a_c8r32.pk1
col-5 : x.ma100529_rel_withdbg.z12a_c8r32.pk1
col-6 : x.ma100625_rel_withdbg.z12a_c8r32.pk1
col-7 : x.ma101116_rel_withdbg.z12a_c8r32.pk1
col-8 : x.ma110410_rel_withdbg.z12b_c8r32.pk1
col-9 : x.ma110806_rel_withdbg.z12b_c8r32.pk1
col-10 : x.ma120301_rel_withdbg.z12b_c8r32.pk1
col-11 : x.ma130000_rel_withdbg.z12b_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11
3882	3956	3783	3712	3728	3901	3783	3840	3997	4058	4085	hot-points_range=100
20741	20652	20068	19368	19302	19179	18820	19333	18945	19180	19742	point-query_range=100
2310	2317	2241	2216	2235	2330	2264	2264	2384	2407	2412	points-covered-pk_range=100
2415	2382	2293	2240	2255	2347	2384	2404	2622	2662	2653	points-covered-si_range=100
2221	2208	2143	2131	2158	2230	2191	2189	2297	2330	2339	points-notcovered-pk_range=100
1332	1313	1276	1263	1308	1342	1342	1352	1479	1490	1488	points-notcovered-si_range=100
253	256	247	247	256	261	258	265	276	273	273	random-points_range=1000
2218	2231	2162	2133	2180	2242	2205	2205	2320	2336	2355	random-points_range=100
10762	10753	10380	9932	9926	9914	9707	9846	10067	10270	10418	random-points_range=10
11043	10795	10639	10023	10225	10117	9970	10193	10142	10311	10467	range-covered-pk_range=100
11611	11406	11118	10445	10489	10480	10473	10583	10503	10834	10929	range-covered-si_range=100
10203	10098	9896	9258	9514	9465	9356	9508	9425	9630	9736	range-notcovered-pk_range=100
2506	2494	2434	2377	2495	2550	2514	2525	2749	2758	2780	range-notcovered-si_range=100
3743	3820	3707	3569	3967	3832	3897	3896	3867	4021	4110	read-only-count_range=1000
8141	8126	8113	8095	8005	7958	8119	8103	8117	7725	8036	read-only-distinct_range=1000
11068	11089	11033	10761	10497	10633	10793	10895	10500	10614	11003	read-only-order_range=1000
610	601	604	599	596	600	612	615	600	594	610	read-only_range=10000
15468	15467	14999	14531	14445	14446	14362	14464	14396	14424	14676	read-only_range=100
19123	19064	18392	17773	17548	17404	17268	17396	17395	17743	18003	read-only_range=10
14345	14236	13974	13288	13803	13840	13543	13834	13684	13709	14084	read-only-simple_range=1000
16003	15844	15395	14744	15292	15244	15020	15329	15006	15448	15640	read-only-sum_range=1000
5615	5608	5482	5354	6217	6034	6483	6281	6221	6298	6613	scan_range=100
5601	5617	5502	5364	6202	6004	6483	6389	6212	6295	6540	scan.warm_range=100
12676	12582	12326	12148	12850	13086	13141	12337	12247	12006	12074	delete_range=100
12677	12771	11875	11628	11972	12433	12131	12121	11622	11966	11785	insert_range=100
14731	14686	14148	13805	13995	13995	13889	13781	13797	13855	14124	read-write_range=100
17237	17157	16337	15950	16040	16120	15941	15806	15893	16107	16283	read-write_range=10
5204	5049	4226	4214	5620	6244	6286	5920	6152	6112	6034	update-index_range=100
6233	6184	6077	6037	6097	6183	6265	5525	5649	5601	5566	update-inlist_range=100
11481	11399	11183	11060	10916	11304	11312	10349	10360	10192	10112	update-nonindex_range=100
12135	12204	11888	11684	11470	11621	11600	10670	10622	10438	10401	update-one_range=100
11678	11738	11364	11358	11274	11368	11357	10441	10383	10281	10209	update-zipf_range=100
16795	16727	15346	15234	16666	16595	16364	15547	15672	15405	15458	write-only_range=10000
