col-1 : x.ma100230_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma100244_rel_withdbg.z12a_c32r128.pk1
col-3 : x.ma100339_rel_withdbg.z12a_c32r128.pk1
col-4 : x.ma100434_rel_withdbg.z12a_c32r128.pk1
col-5 : x.ma100529_rel_withdbg.z12a_c32r128.pk1
col-6 : x.ma100625_rel_withdbg.z12b_c32r128.pk1
col-7 : x.ma101115_rel_withdbg.z12a_c32r128.pk1
col-8 : x.ma110410_rel_withdbg.z12b_c32r128.pk1
col-9 : x.ma110806_rel_withdbg.z12b_c32r128.pk1
col-10 : x.ma120202_rel_withdbg.z12b_c32r128.pk1
col-11 : x.ma120301_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11
78413	77693	84479	84025	53993	78409	76572	78939	85603	84435	84167	hot-points_range=100
895647	902931	882523	851979	822679	809104	812303	803541	804883	797854	796925	point-query_range=100
72785	70188	73638	73106	29832	29091	26249	25993	25335	25945	26258	points-covered-pk_range=100
71088	68557	71612	70392	50787	74512	74293	59683	66173	64433	64494	points-covered-si_range=100
70894	68214	71639	70722	29541	29010	26132	25798	25097	25923	26218	points-notcovered-pk_range=100
41268	38939	40336	40037	20377	20542	18605	18097	17647	18180	18463	points-notcovered-si_range=100
7404	7172	7501	7508	2977	2944	2627	2600	2542	2612	2642	random-points_range=1000
71157	68704	72004	71228	29533	28968	26153	25829	25147	25862	26196	random-points_range=100
427722	419786	423208	394498	292839	284433	251980	247482	239722	245476	251779	random-points_range=10
478870	474371	465687	427848	418220	424658	433186	432503	432788	418336	420977	range-covered-pk_range=100
486910	480142	468488	433081	415850	427811	440567	429861	434623	421321	426955	range-covered-si_range=100
448295	438664	431447	399891	394755	402505	408935	391798	390162	382025	384168	range-notcovered-pk_range=100
75524	70508	74666	73936	27719	27499	24586	24215	23741	24081	24549	range-notcovered-si_range=100
151144	143681	141804	138719	122043	156134	155023	152492	153184	150040	153809	read-only-count_range=1000
322661	321189	321630	308930	309433	314203	317638	313623	309463	309172	310151	read-only-distinct_range=1000
436619	435093	431920	407499	408147	416229	422628	412492	406183	408507	409275	read-only-order_range=1000
16289	16209	20572	19894	20130	20910	21310	20780	20555	20523	20872	read-only_range=10000
654440	656082	640582	604502	589951	590076	596896	591070	582531	583034	582164	read-only_range=100
808601	813926	780045	742265	717261	710334	715136	708931	702242	702789	703482	read-only_range=10
555294	549432	542569	527484	523025	521762	527578	507942	507844	506550	499954	read-only-simple_range=1000
656492	656367	638862	617782	616357	624383	630577	627982	625158	623967	609408	read-only-sum_range=1000
5019	4844	4789	4830	3896	5319	4326	3439	3546	3606	3631	scan_range=100
5107	4825	4892	4910	3898	5363	4214	3473	3522	3678	3585	scan.warm_range=100
169380	146152	247804	248644	207626	254991	346805	349563	347723	470859	464974	delete_range=100
121721	111608	117201	118434	106068	110604	150886	152909	152315	155152	154085	insert_range=100
534824	524624	513330	495481	483846	500407	521774	509173	504786	507004	514290	read-write_range=100
602045	593350	576453	559766	530818	552186	583232	573385	567963	569941	581230	read-write_range=10
94391	85144	106884	107977	40305	58758	108223	104409	105731	105120	106225	update-index_range=100
45938	46380	37671	37946	27712	27529	75200	72366	72233	70958	71999	update-inlist_range=100
103128	94500	117530	118599	108680	115782	147108	147456	147457	148718	148321	update-nonindex_range=100
65566	62230	74289	73856	70435	81884	84431	84871	84026	85789	85813	update-one_range=100
102873	94587	116780	118355	109731	116499	146770	146934	147267	148419	148397	update-zipf_range=100
311277	294070	286552	285031	201997	239150	384434	378376	376569	383739	387191	write-only_range=10000
