col-1 : x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-5 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
23296	77841	60045	58270	60569	hot-points_range=100
480105	940832	754616	721374	679340	point-query_range=100
23728	70666	57725	57423	58855	points-covered-pk_range=100
78492	68721	59399	58946	61245	points-covered-si_range=100
23917	68980	56147	55955	57332	points-notcovered-pk_range=100
44523	38660	33859	33553	34382	points-notcovered-si_range=100
2336	7177	5947	5927	6093	random-points_range=1000
23834	69176	56376	56258	57565	random-points_range=100
233570	414438	326039	319385	316027	random-points_range=10
514351	469362	375629	370077	365128	range-covered-pk_range=100
536659	492923	403006	400154	392739	range-covered-si_range=100
484703	430692	332802	332076	329024	range-notcovered-pk_range=100
81235	69926	59656	59351	60969	range-notcovered-si_range=100
178941	151811	130115	126044	126359	read-only-count_range=1000
179919	326249	287906	284707	283770	read-only-distinct_range=1000
312220	455601	380863	375049	373992	read-only-order_range=1000
11393	11191	15434	15362	15375	read-only_range=10000
490571	658977	531537	523484	513618	read-only_range=100
589966	811815	650866	637825	618402	read-only_range=10
523046	558172	455304	451746	451536	read-only-simple_range=1000
601740	681551	566324	553628	540470	read-only-sum_range=1000
5869	5030	4343	4280	4277	scan_range=100
5893	5036	4439	4302	4277	scan.warm_range=100
76973	159708	241764	231944	208015	delete_range=100
60028	124901	119588	115079	100498	insert_range=100
306840	504335	367471	358663	353081	read-write_range=100
322201	557975	402452	391896	384800	read-write_range=10
11255	82839	79315	78360	76201	update-index_range=100
21946	41748	52379	49648	47932	update-inlist_range=100
47812	105050	108882	103467	98342	update-nonindex_range=100
49140	63983	66282	64468	61300	update-one_range=100
49481	105360	108523	102699	98027	update-zipf_range=100
105533	278753	266770	259611	248697	write-only_range=10000
