col-1 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.ma110806_rel_withdbg.z12b_c32r128.pk1
col-3 : x.pg182_o2nofp.x10b_c32r128.pk1

col-1	col-2	col-3
58270	85603	281092	hot-points_range=100
721374	804883	1013725	point-query_range=100
57423	25335	78273	points-covered-pk_range=100
58946	66173	76933	points-covered-si_range=100
55955	25097	72448	points-notcovered-pk_range=100
33553	17647	71290	points-notcovered-si_range=100
5927	2542	8003	random-points_range=1000
56258	25147	73289	random-points_range=100
319385	239722	469453	random-points_range=10
370077	432788	232027	range-covered-pk_range=100
400154	434623	222692	range-covered-si_range=100
332076	390162	188316	range-notcovered-pk_range=100
59351	23741	162775	range-notcovered-si_range=100
126044	153184	30416	read-only-count_range=1000
284707	309463	167663	read-only-distinct_range=1000
375049	406183	173002	read-only-order_range=1000
15362	20555	7393	read-only_range=10000
523484	582531	464985	read-only_range=100
637825	702242	821128	read-only_range=10
451746	507844	241318	read-only-simple_range=1000
553628	625158	303739	read-only-sum_range=1000
4280	3546	2761	scan_range=100
4302	3522	2758	scan.warm_range=100
231944	347723	863080	delete_range=100
115079	152315	348812	insert_range=100
358663	504786	481884	read-write_range=100
391896	567963	706721	read-write_range=10
78360	105731	330288	update-index_range=100
49648	72233	121506	update-inlist_range=100
103467	147457	407460	update-nonindex_range=100
64468	84026	108762	update-one_range=100
102699	147267	401551	update-zipf_range=100
259611	376569	579887	write-only_range=10000
