hot-points_range=100,112399,111619,107560,114885,115446,279954,281092
point-query_range=100,995739,971887,1032537,988649,1025114,1004796,1013725
points-covered-pk_range=100,87879,89578,84139,83315,79716,79714,78273
points-covered-si_range=100,85860,88540,84867,82023,77482,79533,76933
points-notcovered-pk_range=100,71130,70834,72663,72826,72498,72070,72448
points-notcovered-si_range=100,68863,69120,72151,71342,70935,71238,71290
random-points_range=1000,7796,7838,8003,8096,8010,7963,8003
random-points_range=100,71366,71649,73482,73617,73470,72970,73289
random-points_range=10,463411,458071,478625,463941,473933,468888,469453
range-covered-pk_range=100,388930,402018,306626,282231,238215,253689,232027
range-covered-si_range=100,385991,399841,300242,273321,226184,245283,222692
range-notcovered-pk_range=100,189164,186798,193032,187836,190925,189635,188316
range-notcovered-si_range=100,161356,157703,162024,159696,160214,160982,162775
read-only-count_range=1000,30459,31779,30160,29921,35351,29387,30416
read-only-distinct_range=1000,167246,169777,165638,164778,179315,166528,167663
read-only-order_range=1000,171526,173153,169506,167543,187082,172913,173002
read-only_range=10000,6986,6966,6921,7119,7349,7288,7393
read-only_range=100,462614,459553,468668,460829,467941,468281,464985
read-only_range=10,835473,813759,837802,823176,831703,832639,821128
read-only-simple_range=1000,243784,243363,240282,238686,264859,237742,241318
read-only-sum_range=1000,303194,309637,299519,296624,337537,294761,303739
scan_range=100,2407,2414,2775,2325,2317,2383,2761
scan.warm_range=100,2388,2426,2764,2458,2416,2319,2758
delete_range=100,699302,671287,781165,773824,750102,860604,863080
insert_range=100,328672,332805,349320,332826,331335,342521,348812
read-write_range=100,473312,468122,477556,471670,469691,484084,481884
read-write_range=10,700760,687766,697957,708035,696241,717599,706721
update-index_range=100,194915,189445,214650,203814,184957,328414,330288
update-inlist_range=100,110445,109325,117017,113563,113110,120973,121506
update-nonindex_range=100,253492,231897,255513,249262,214396,413720,407460
update-one_range=100,69285,69731,109294,108623,70302,111471,108762
update-zipf_range=100,291313,287060,234015,244507,221228,404401,401551
write-only_range=10000,480197,461329,507581,490211,474125,577938,579887
