hot-points_range=100,1.47,4.82
point-query_range=100,1.12,1.41
points-covered-pk_range=100,0.44,1.36
points-covered-si_range=100,1.12,1.31
points-notcovered-pk_range=100,0.45,1.29
points-notcovered-si_range=100,0.53,2.12
random-points_range=1000,0.43,1.35
random-points_range=100,0.45,1.30
random-points_range=10,0.75,1.47
range-covered-pk_range=100,1.17,0.63
range-covered-si_range=100,1.09,0.56
range-notcovered-pk_range=100,1.17,0.57
range-notcovered-si_range=100,0.40,2.74
read-only-count_range=1000,1.22,0.24
read-only-distinct_range=1000,1.09,0.59
read-only-order_range=1000,1.08,0.46
read-only_range=10000,1.34,0.48
read-only_range=100,1.11,0.89
read-only_range=10,1.10,1.29
read-only-simple_range=1000,1.12,0.53
read-only-sum_range=1000,1.13,0.55
scan_range=100,0.83,0.65
scan.warm_range=100,0.82,0.64
delete_range=100,1.50,3.72
insert_range=100,1.32,3.03
read-write_range=100,1.41,1.34
read-write_range=10,1.45,1.80
update-index_range=100,1.35,4.22
update-inlist_range=100,1.45,2.45
update-nonindex_range=100,1.43,3.94
update-one_range=100,1.30,1.69
update-zipf_range=100,1.43,3.91
write-only_range=10000,1.45,2.23
