hot-points_range=100,5402,5673,5160,5257,5204,5247,5631,5168,5174
point-query_range=100,54443,54915,54668,55950,54628,56400,56914,57361,56920
points-covered-pk_range=100,3809,3880,3828,3849,3827,3912,3883,3915,3873
points-covered-si_range=100,2930,3183,2948,3260,3460,3729,2973,2987,3142
points-notcovered-pk_range=100,3687,3750,3705,3719,3708,3768,3737,3776,3742
points-notcovered-si_range=100,1859,1976,1850,1989,2064,2171,1885,1887,1933
random-points_range=1000,462,479,470,471,468,481,475,482,475
random-points_range=100,3708,3771,3727,3758,3723,3795,3767,3795,3762
random-points_range=10,22653,23002,22726,23218,22562,23168,23039,23123,23088
range-covered-pk_range=100,16820,17243,17170,17618,16937,17079,17404,17670,17611
range-covered-si_range=100,18558,19099,19130,19435,19207,19518,19283,19453,19611
range-notcovered-pk_range=100,14995,15547,15390,15788,15364,15277,15532,15774,15809
range-notcovered-si_range=100,3990,4019,3954,3987,3992,4049,4017,4036,4012
read-only_range=10000,929,976,982,985,982,965,993,1002,1014
read-only_range=100,32398,32911,33056,33214,33026,33131,33507,33763,33957
read-only_range=10,45886,45964,46018,46340,46201,46498,46997,47057,47098
scan_range=100,573.0,597.4,610.2,608.1,597.2,579.0,632.3,638.6,657.8
delete_range=100,18753,19056,19173,19356,19750,18343,18700,18872,19118
insert_range=100,19642,19786,19718,19791,19647,19728,19630,19747,19761
read-write_range=100,29361,29953,29940,30062,29822,30110,30142,30271,30476
read-write_range=10,37532,37706,37834,38001,37718,37940,38214,38232,38192
update-index_range=100,17919,18031,17940,17935,17931,17995,17960,17856,18124
update-inlist_range=100,6933,6924,7029,6909,6901,6986,6915,6920,6963
update-nonindex_range=100,18537,18718,18564,18653,18565,18624,18469,18565,18629
update-one_range=100,8155,8140,8145,8147,8017,8150,8139,8154,8137
update-zipf_range=100,18906,19132,19061,19165,18985,19161,18853,18913,19187
write-only_range=10000,34104,34116,34108,34371,34180,34149,34516,33990,34326
