hot-points_range=100,2334,2352,2355,2317,2343,2390,2457,2427,2474
point-query_range=100,13399,13369,13095,13207,13978,13390,14058,14193,14311
points-covered-pk_range=100,1636,1668,1656,1640,1696,1716,1688,1719,1710
points-covered-si_range=100,1768,1754,1760,1770,1814,1855,1892,1877,1859
points-notcovered-pk_range=100,1617,1590,1571,1557,1555,1596,1662,1608,1695
points-notcovered-si_range=100,1049,1030,1053,1025,1049,1070,1062,1022,1067
random-points_range=1000,180,190,186,185,179,181,192,185,196
random-points_range=100,1580,1600,1656,1625,1648,1589,1692,1662,1718
random-points_range=10,7130,7032,7130,6926,7199,7136,7233,7201,7251
range-covered-pk_range=100,6306,6377,6278,6361,6440,6873,7159,7074,7114
range-covered-si_range=100,6769,6865,6653,6831,6951,7366,7662,7674,7685
range-notcovered-pk_range=100,5758,5863,5736,5788,5928,6213,6345,6346,6366
range-notcovered-si_range=100,1884,1924,1830,1830,1825,1972,1983,1870,1939
read-only_range=10000,308,314,314,314,313,340,345,350,352
read-only_range=100,9587,9696,9685,9657,9961,9868,10353,10315,10409
read-only_range=10,12106,12097,12081,12027,12513,12125,12735,12584,12618
scan_range=100,1663.4,1739.5,1759.3,1753.2,1721.4,2248.5,2351.7,2326.8,2494.8
delete_range=100,6415,6402,6407,6415,6409,6412,6522,6495,6483
insert_range=100,6234,6034,6070,6201,6375,5991,6401,6364,6374
read-write_range=100,8902,8886,8887,8873,9087,9084,9376,9335,9397
read-write_range=10,10479,10434,10467,10440,10774,10497,10889,10858,10860
update-index_range=100,3706,3693,3685,3709,3716,3704,3733,3703,3698
update-inlist_range=100,3567,3588,3547,3575,3571,3597,3625,3621,3610
update-nonindex_range=100,6225,6209,6174,6216,6211,6208,6286,6261,6219
update-one_range=100,6342,6324,6268,6342,6356,6330,6428,6389,6337
update-zipf_range=100,6236,6236,6181,6259,6208,6226,6284,6245,6240
write-only_range=10000,9567,9518,9522,9507,9531,9556,9667,9551,9570
