hot-points_range=100,1.01,1.01,0.99,1.00,1.02,1.05,1.04,1.06
point-query_range=100,1.00,0.98,0.99,1.04,1.00,1.05,1.06,1.07
points-covered-pk_range=100,1.02,1.01,1.00,1.04,1.05,1.03,1.05,1.05
points-covered-si_range=100,0.99,1.00,1.00,1.03,1.05,1.07,1.06,1.05
points-notcovered-pk_range=100,0.98,0.97,0.96,0.96,0.99,1.03,0.99,1.05
points-notcovered-si_range=100,0.98,1.00,0.98,1.00,1.02,1.01,0.97,1.02
random-points_range=1000,1.06,1.03,1.03,0.99,1.01,1.07,1.03,1.09
random-points_range=100,1.01,1.05,1.03,1.04,1.01,1.07,1.05,1.09
random-points_range=10,0.99,1.00,0.97,1.01,1.00,1.01,1.01,1.02
range-covered-pk_range=100,1.01,1.00,1.01,1.02,1.09,1.14,1.12,1.13
range-covered-si_range=100,1.01,0.98,1.01,1.03,1.09,1.13,1.13,1.14
range-notcovered-pk_range=100,1.02,1.00,1.01,1.03,1.08,1.10,1.10,1.11
range-notcovered-si_range=100,1.02,0.97,0.97,0.97,1.05,1.05,0.99,1.03
read-only_range=10000,1.02,1.02,1.02,1.02,1.10,1.12,1.14,1.14
read-only_range=100,1.01,1.01,1.01,1.04,1.03,1.08,1.08,1.09
read-only_range=10,1.00,1.00,0.99,1.03,1.00,1.05,1.04,1.04
scan_range=100,1.05,1.06,1.05,1.03,1.35,1.41,1.40,1.50
delete_range=100,1.00,1.00,1.00,1.00,1.00,1.02,1.01,1.01
insert_range=100,0.97,0.97,0.99,1.02,0.96,1.03,1.02,1.02
read-write_range=100,1.00,1.00,1.00,1.02,1.02,1.05,1.05,1.06
read-write_range=10,1.00,1.00,1.00,1.03,1.00,1.04,1.04,1.04
update-index_range=100,1.00,0.99,1.00,1.00,1.00,1.01,1.00,1.00
update-inlist_range=100,1.01,0.99,1.00,1.00,1.01,1.02,1.02,1.01
update-nonindex_range=100,1.00,0.99,1.00,1.00,1.00,1.01,1.01,1.00
update-one_range=100,1.00,0.99,1.00,1.00,1.00,1.01,1.01,1.00
update-zipf_range=100,1.00,0.99,1.00,1.00,1.00,1.01,1.00,1.00
write-only_range=10000,0.99,1.00,0.99,1.00,1.00,1.01,1.00,1.00
