hot-points_range=100,2610,2714,2699,2660,2650,2733,2729,2760,2744
point-query_range=100,15999,15750,15925,15665,16612,15993,16516,16936,16721
points-covered-pk_range=100,1770,1789,1790,1750,1766,1801,1820,1824,1831
points-covered-si_range=100,1895,1914,1912,1887,1882,1957,1962,1986,1976
points-notcovered-pk_range=100,1707,1735,1726,1688,1726,1739,1736,1751,1741
points-notcovered-si_range=100,1060,1089,1075,1033,1070,1081,1080,1089,1092
random-points_range=1000,194,198,198,192,195,200,197,200,197
random-points_range=100,1719,1752,1726,1705,1725,1743,1747,1755,1756
random-points_range=10,8047,8139,8056,8003,8151,8076,8161,8295,8265
range-covered-pk_range=100,7283,7408,7401,7459,7423,7721,7899,8025,7977
range-covered-si_range=100,7991,8090,8129,8068,8108,8494,8646,8814,8749
range-notcovered-pk_range=100,6763,6869,6887,6881,6860,7104,7239,7359,7344
range-notcovered-si_range=100,1962,1970,1952,1942,1969,1982,1989,2007,1997
read-only_range=10000,380,395,402,390,384,412,421,430,430
read-only_range=100,11260,11454,11427,11442,11665,11583,11999,12159,12113
read-only_range=10,14108,14154,14168,14199,14624,14236,14654,14857,14827
scan_range=100,260.5,269.7,271.7,277.8,249.2,317.5,322.3,337.6,337.3
delete_range=100,7523,7572,7516,7480,7467,7520,7454,7523,7513
insert_range=100,7225,7281,7267,7258,7219,7238,7196,7263,7261
read-write_range=100,10475,10582,10624,10608,10765,10651,11017,11179,11153
read-write_range=10,12397,12418,12434,12465,12732,12486,12755,12977,12899
update-index_range=100,3411,3410,3429,3426,3400,3386,3422,3373,3410
update-inlist_range=100,4012,4030,4012,4014,4014,4029,4052,4077,4078
update-nonindex_range=100,7064,7158,7107,7072,7068,7131,7075,7125,7113
update-one_range=100,7264,7345,7286,7293,7266,7304,7239,7298,7291
update-zipf_range=100,7118,7201,7157,7182,7121,7116,7077,7158,7105
write-only_range=10000,11067,11206,11105,11033,11054,11048,11000,11151,11080
