col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_c8r32.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_100_c8r32.pk1
col-3 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_1000_c8r32.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.za2_c8r32.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.za2_c8r32.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_c8r32.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_100_c8r32.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_1000_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
2019	2093	2005	2005	1978	2042	2079	2061	hot-points_range=100
13405	13317	13161	13391	13781	13811	13990	14164	point-query_range=100
1327	1325	1325	1324	1316	1330	1328	1321	points-covered-pk_range=100
924	1245	1111	956	992	1461	958	1287	points-covered-si_range=100
1282	1281	1285	1281	1270	1291	1286	1279	points-notcovered-pk_range=100
568	679	627	567	601	746	582	695	points-notcovered-si_range=100
147	148	148	147	146	145	147	147	random-points_range=1000
1291	1287	1291	1286	1275	1296	1287	1291	random-points_range=100
6219	6231	6216	6239	6255	6314	6313	6285	random-points_range=10
5009	4826	4885	4792	4855	4886	5041	5183	range-covered-pk_range=100
5554	5732	5808	5586	5643	6011	5612	5991	range-covered-si_range=100
4620	4469	4557	4458	4477	4517	4553	4630	range-notcovered-pk_range=100
1279	1290	1287	1282	1270	1320	1260	1277	range-notcovered-si_range=100
305	305	308	302	300	307	309	314	read-only_range=10000
8915	8875	8934	8943	9039	9104	9226	9186	read-only_range=100
11821	11797	11770	11877	12043	12153	12309	12224	read-only_range=10
156.0	161.6	164.5	163.2	157.0	163.4	163.3	170.8	scan_range=100
6154	6278	6305	6292	6351	6348	6374	6063	delete_range=100
6263	6240	6265	6291	6208	6305	6303	6321	insert_range=100
8378	8359	8378	8379	8429	8502	8539	8571	read-write_range=100
10278	10192	10202	10255	10334	10469	10525	10501	read-write_range=10
5729	5723	5739	5714	5708	5763	5749	5719	update-index_range=100
2852	2838	2850	2865	2842	2858	2876	2873	update-inlist_range=100
5796	5777	5785	5784	5771	5812	5819	5855	update-nonindex_range=100
6463	6455	6459	6500	6431	6492	6504	6526	update-one_range=100
5854	5827	5829	5876	5824	5868	5866	5851	update-zipf_range=100
11045	11000	11024	11009	11000	11075	11101	11040	write-only_range=10000
