Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za1_c8r32.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_c8r32.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_100_c8r32.pk1
col-3 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_1000_c8r32.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.za2_c8r32.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.za2_c8r32.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_c8r32.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_100_c8r32.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_1000_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
1.02	1.05	1.01	1.01	1.00	1.03	1.05	1.04	hot-points_range=100
1.01	1.00	0.99	1.01	1.04	1.04	1.05	1.07	point-query_range=100
1.02	1.02	1.02	1.01	1.01	1.02	1.02	1.01	points-covered-pk_range=100
0.83	1.12	1.00	0.86	0.89	1.32	0.86	1.16	points-covered-si_range=100
1.01	1.01	1.01	1.01	1.00	1.01	1.01	1.00	points-notcovered-pk_range=100
0.90	1.08	1.00	0.90	0.95	1.18	0.92	1.10	points-notcovered-si_range=100
1.01	1.01	1.01	1.01	1.00	0.99	1.01	1.01	random-points_range=1000
1.01	1.00	1.01	1.00	1.00	1.01	1.00	1.01	random-points_range=100
0.99	1.00	0.99	1.00	1.00	1.01	1.01	1.01	random-points_range=10
1.02	0.98	0.99	0.97	0.99	0.99	1.02	1.05	range-covered-pk_range=100
1.00	1.03	1.04	1.00	1.01	1.08	1.01	1.08	range-covered-si_range=100
1.02	0.99	1.01	0.99	0.99	1.00	1.01	1.03	range-notcovered-pk_range=100
0.99	1.00	1.00	0.99	0.98	1.02	0.98	0.99	range-notcovered-si_range=100
1.05	1.05	1.06	1.04	1.03	1.05	1.06	1.08	read-only_range=10000
1.02	1.02	1.02	1.02	1.03	1.04	1.06	1.05	read-only_range=100
1.01	1.01	1.00	1.01	1.03	1.04	1.05	1.04	read-only_range=10
1.09	1.13	1.15	1.14	1.10	1.14	1.14	1.20	scan_range=100
1.01	1.03	1.03	1.03	1.04	1.04	1.05	1.00	delete_range=100
1.00	1.00	1.00	1.01	0.99	1.01	1.01	1.01	insert_range=100
1.01	1.01	1.01	1.01	1.02	1.03	1.03	1.04	read-write_range=100
1.02	1.01	1.01	1.01	1.02	1.04	1.04	1.04	read-write_range=10
1.00	1.00	1.01	1.00	1.00	1.01	1.01	1.00	update-index_range=100
1.01	1.00	1.01	1.01	1.00	1.01	1.02	1.01	update-inlist_range=100
1.00	1.00	1.00	1.00	1.00	1.01	1.01	1.01	update-nonindex_range=100
1.00	1.00	1.00	1.01	1.00	1.01	1.01	1.01	update-one_range=100
1.01	1.00	1.00	1.01	1.00	1.01	1.01	1.01	update-zipf_range=100
1.00	1.00	1.00	1.00	1.00	1.00	1.01	1.00	write-only_range=10000
