Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_c8r32.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_100_c8r32.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_1000_c8r32.pk1
col-3 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.za2_c8r32.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.za2_c8r32.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_c8r32.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_100_c8r32.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_1000_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
1.04	0.99	0.99	0.98	1.01	1.03	1.02	hot-points_range=100
0.99	0.98	1.00	1.03	1.03	1.04	1.06	point-query_range=100
1.00	1.00	1.00	0.99	1.00	1.00	1.00	points-covered-pk_range=100
1.35	1.20	1.03	1.07	1.58	1.04	1.39	points-covered-si_range=100
1.00	1.00	1.00	0.99	1.01	1.00	1.00	points-notcovered-pk_range=100
1.20	1.10	1.00	1.06	1.31	1.02	1.22	points-notcovered-si_range=100
1.01	1.01	1.00	0.99	0.99	1.00	1.00	random-points_range=1000
1.00	1.00	1.00	0.99	1.00	1.00	1.00	random-points_range=100
1.00	1.00	1.00	1.01	1.02	1.02	1.01	random-points_range=10
0.96	0.98	0.96	0.97	0.98	1.01	1.03	range-covered-pk_range=100
1.03	1.05	1.01	1.02	1.08	1.01	1.08	range-covered-si_range=100
0.97	0.99	0.96	0.97	0.98	0.99	1.00	range-notcovered-pk_range=100
1.01	1.01	1.00	0.99	1.03	0.99	1.00	range-notcovered-si_range=100
1.00	1.01	0.99	0.98	1.01	1.01	1.03	read-only_range=10000
1.00	1.00	1.00	1.01	1.02	1.03	1.03	read-only_range=100
1.00	1.00	1.00	1.02	1.03	1.04	1.03	read-only_range=10
1.04	1.05	1.05	1.01	1.05	1.05	1.09	scan_range=100
1.02	1.02	1.02	1.03	1.03	1.04	0.99	delete_range=100
1.00	1.00	1.00	0.99	1.01	1.01	1.01	insert_range=100
1.00	1.00	1.00	1.01	1.01	1.02	1.02	read-write_range=100
0.99	0.99	1.00	1.01	1.02	1.02	1.02	read-write_range=10
1.00	1.00	1.00	1.00	1.01	1.00	1.00	update-index_range=100
1.00	1.00	1.00	1.00	1.00	1.01	1.01	update-inlist_range=100
1.00	1.00	1.00	1.00	1.00	1.00	1.01	update-nonindex_range=100
1.00	1.00	1.01	1.00	1.00	1.01	1.01	update-one_range=100
1.00	1.00	1.00	0.99	1.00	1.00	1.00	update-zipf_range=100
1.00	1.00	1.00	1.00	1.00	1.01	1.00	write-only_range=10000
