hot-points_range=100,0.97,1.01,1.01,0.99,1.00,1.02,1.02,1.02,1.03
point-query_range=100,0.93,1.00,0.95,0.96,1.00,0.88,1.04,1.04,1.05
points-covered-pk_range=100,0.94,1.02,1.00,0.99,1.00,0.98,1.07,0.99,1.02
points-covered-si_range=100,1.02,1.09,1.01,0.96,1.06,1.10,1.12,1.11,1.07
points-notcovered-pk_range=100,0.92,1.02,1.00,0.95,1.03,0.95,1.06,1.00,1.01
points-notcovered-si_range=100,0.99,1.03,1.00,0.98,0.99,1.09,1.12,1.06,1.03
random-points_range=1000,0.94,1.02,0.99,0.97,1.04,0.97,1.08,1.03,0.99
random-points_range=100,0.97,1.00,1.01,1.02,0.99,1.04,1.04,1.03,1.02
random-points_range=10,1.01,1.03,0.93,0.97,1.04,1.02,0.99,1.05,1.04
range-covered-pk_range=100,0.95,1.02,0.98,1.02,1.02,1.07,1.10,1.11,1.11
range-covered-si_range=100,0.95,1.03,0.98,0.99,1.01,1.09,1.13,1.13,1.13
range-notcovered-pk_range=100,0.98,1.02,1.01,0.97,1.01,1.01,1.03,1.10,1.09
range-notcovered-si_range=100,1.00,1.02,1.00,1.02,1.05,1.03,1.00,1.03,1.02
read-only_range=10000,0.97,1.02,1.01,1.03,1.00,1.06,1.11,1.14,1.14
read-only_range=100,0.95,1.01,1.01,1.01,0.99,0.97,1.06,1.06,1.06
read-only_range=10,0.95,1.00,1.00,1.00,1.01,1.01,1.00,1.03,1.04
scan_range=100,1.00,1.04,1.04,1.05,1.02,1.23,1.32,1.35,1.36
delete_range=100,0.98,0.99,1.02,1.00,0.99,1.01,1.02,1.04,1.01
insert_range=100,1.00,1.00,0.99,1.00,0.97,0.98,1.02,1.00,0.99
read-write_range=100,0.99,1.02,1.01,1.03,1.03,1.02,1.01,1.05,1.07
read-write_range=10,0.99,1.01,1.01,1.01,1.00,1.00,1.02,1.05,1.04
update-index_range=100,1.00,0.99,1.00,1.00,1.00,0.99,1.00,1.01,1.00
update-inlist_range=100,0.97,0.99,1.00,1.00,0.98,1.01,0.99,1.03,1.01
update-nonindex_range=100,1.00,1.00,0.99,1.00,1.00,0.99,1.01,1.02,1.00
update-one_range=100,1.02,1.01,1.01,1.01,1.00,0.99,0.99,1.03,1.02
update-zipf_range=100,0.99,0.99,0.96,0.98,1.00,0.99,1.00,1.02,1.02
write-only_range=10000,0.99,1.00,0.98,0.99,0.99,0.98,0.99,1.00,1.01
