hot-points_range=100,1.04,1.04,1.02,1.03,1.05,1.06,1.06,1.06
point-query_range=100,1.08,1.03,1.04,1.08,0.95,1.12,1.12,1.13
points-covered-pk_range=100,1.09,1.06,1.05,1.06,1.04,1.14,1.05,1.08
points-covered-si_range=100,1.06,0.99,0.94,1.03,1.08,1.10,1.09,1.04
points-notcovered-pk_range=100,1.10,1.08,1.02,1.11,1.03,1.15,1.09,1.09
points-notcovered-si_range=100,1.04,1.01,0.99,1.00,1.10,1.13,1.07,1.04
random-points_range=1000,1.09,1.06,1.04,1.11,1.03,1.15,1.10,1.06
random-points_range=100,1.03,1.04,1.05,1.02,1.07,1.08,1.06,1.06
random-points_range=10,1.02,0.92,0.96,1.03,1.01,0.98,1.04,1.03
range-covered-pk_range=100,1.07,1.04,1.08,1.07,1.13,1.16,1.17,1.17
range-covered-si_range=100,1.08,1.03,1.04,1.07,1.15,1.19,1.20,1.19
range-notcovered-pk_range=100,1.04,1.03,0.98,1.03,1.02,1.05,1.12,1.12
range-notcovered-si_range=100,1.02,1.00,1.02,1.06,1.04,1.01,1.03,1.03
read-only_range=10000,1.05,1.04,1.06,1.03,1.10,1.15,1.18,1.17
read-only_range=100,1.06,1.06,1.07,1.04,1.02,1.12,1.12,1.12
read-only_range=10,1.05,1.06,1.06,1.07,1.06,1.06,1.09,1.10
scan_range=100,1.03,1.03,1.05,1.01,1.23,1.31,1.34,1.35
delete_range=100,1.01,1.03,1.01,1.00,1.02,1.03,1.06,1.02
insert_range=100,1.01,0.99,1.01,0.98,0.99,1.02,1.00,0.99
read-write_range=100,1.03,1.02,1.03,1.04,1.03,1.02,1.06,1.07
read-write_range=10,1.02,1.01,1.02,1.01,1.01,1.03,1.06,1.05
update-index_range=100,1.00,1.00,1.00,1.00,0.99,1.00,1.01,1.00
update-inlist_range=100,1.02,1.03,1.03,1.01,1.04,1.02,1.06,1.04
update-nonindex_range=100,1.00,0.99,1.00,1.00,0.99,1.01,1.02,1.00
update-one_range=100,0.99,0.99,0.99,0.99,0.98,0.98,1.01,1.00
update-zipf_range=100,1.00,0.97,0.99,1.01,1.00,1.01,1.04,1.03
write-only_range=10000,1.01,0.99,1.00,1.00,0.99,1.00,1.01,1.02
