Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za1_c24r64.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_c24r64.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_100_c24r64.pk1
col-3 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_1000_c24r64.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.za2_c24r64.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.za2_c24r64.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_c24r64.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_100_c24r64.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_1000_c24r64.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
0.97	0.99	0.99	1.00	0.96	0.88	0.99	0.99	hot-points_range=100
1.07	1.08	1.07	0.99	1.04	0.97	1.09	1.10	point-query_range=100
0.98	0.98	1.01	1.00	0.96	1.02	0.99	0.98	points-covered-pk_range=100
0.94	0.94	0.94	1.02	1.03	0.99	1.04	0.94	points-covered-si_range=100
0.99	0.99	0.99	0.99	0.87	1.03	0.99	0.99	points-notcovered-pk_range=100
0.98	0.99	1.00	1.05	0.99	0.96	1.02	0.99	points-notcovered-si_range=100
0.99	0.99	1.01	1.00	0.86	0.86	1.00	0.99	random-points_range=1000
0.99	0.98	1.00	0.99	1.01	1.02	1.00	0.99	random-points_range=100
0.97	0.98	0.99	0.97	0.90	1.00	1.00	0.99	random-points_range=10
1.03	1.01	1.04	1.03	0.98	1.06	1.05	1.06	range-covered-pk_range=100
1.01	1.02	1.05	1.08	1.00	1.04	1.07	1.08	range-covered-si_range=100
1.07	1.06	1.07	1.08	1.03	1.11	1.09	1.10	range-notcovered-pk_range=100
1.19	1.20	1.22	1.25	0.99	1.22	1.23	1.22	range-notcovered-si_range=100
1.02	1.02	1.03	1.02	1.04	1.07	1.07	1.06	read-only_range=10000
1.05	1.06	1.07	1.07	1.03	1.00	1.08	1.04	read-only_range=100
1.00	1.00	1.01	1.01	1.02	1.01	1.02	0.93	read-only_range=10
1.23	1.18	1.25	1.27	1.02	1.28	1.31	1.28	scan_range=100
1.10	1.06	1.04	1.01	1.02	0.97	1.08	1.01	delete_range=100
1.02	1.03	1.03	1.04	1.00	1.03	1.03	1.04	insert_range=100
1.05	1.05	1.06	1.07	0.99	1.02	1.06	1.01	read-write_range=100
1.03	1.02	1.04	1.00	1.01	1.02	1.03	1.05	read-write_range=10
1.01	1.02	1.02	0.98	0.98	0.99	1.01	1.00	update-index_range=100
1.01	1.02	1.02	1.01	0.99	1.02	1.03	0.94	update-inlist_range=100
1.01	0.97	1.01	0.98	0.91	0.96	1.01	0.95	update-nonindex_range=100
1.00	1.02	1.00	0.94	0.95	0.94	1.03	1.01	update-one_range=100
1.01	1.01	0.96	0.98	0.98	0.95	1.02	1.01	update-zipf_range=100
1.04	1.06	1.05	1.01	1.00	1.01	1.05	1.07	write-only_range=10000
