bm.lc.nt1.d0/9.8.clang/report.tsv
bm.lc.nt1.d0/9.9.clang/report.tsv
bm.lc.nt1.d0/9.10.clang/report.tsv
bm.lc.nt1.d0/9.11.clang/report.tsv
bm.lc.nt1.d0/10.0.clang/report.tsv
bm.lc.nt1.d0/10.1.clang/report.tsv
bm.lc.nt1.d0/10.2.clang/report.tsv
bm.lc.nt1.d0/10.3.clang/report.tsv
bm.lc.nt1.d0/10.4.clang/report.tsv
bm.lc.nt1.d0/10.5.clang/report.tsv
bm.lc.nt1.d0/10.6.clang/report.tsv
bm.lc.nt1.d0/10.7.clang/report.tsv
bm.lc.nt1.d0/10.8.clang/report.tsv
bm.lc.nt1.d0/10.9.clang/report.tsv
bm.lc.nt1.d0/10.10.clang/report.tsv

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
975471	390.7	88GB	0GB	87.8	1.1	219.2	399	382	0	0	1.0	0.5	1	4	1222	10056	410	55.8		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-24T11:22:28	9.8.4		44e95d8af5
993084	397.8	88GB	0GB	87.8	1.1	223.2	392	373	0	0	1.0	0.5	1	4	1223	32143	403	56.5		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-24T14:03:51	9.9.3		14d3046a53
973659	390.0	88GB	0GB	87.8	1.1	218.8	400	383	0	0	1.0	0.5	1	4	1222	9209	411	55.7		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-24T16:41:27	9.10.0		ae8fb3e500
938296	375.8	88GB	0GB	87.8	1.1	210.9	413	387	0	0	1.1	0.5	1	5	1228	9533	426	57.4		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-24T19:20:21	9.11.2		461d7f4464
949815	380.4	88GB	0GB	87.8	1.1	213.4	407	382	0	0	1.1	0.5	1	4	1223	9467	421	55.0		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-24T21:58:54	10.0.1		45f7473909
920437	368.7	88GB	0GB	87.8	1.1	206.9	424	407	0	0	1.1	0.5	1	5	1230	10503	435	58.1		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-25T00:37:11	10.1.3		5823cf08d6
978539	391.9	88GB	0GB	87.8	1.1	219.9	398	380	0	0	1.0	0.5	1	4	1222	9985	409	55.3		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-25T03:15:37	10.2.3		4a0a0f5ff4
976364	391.1	88GB	0GB	87.8	1.1	219.4	225	399	0	0	1.0	0.5	1	4	1220	10097	410	54.3		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-25T05:53:30	10.3.4		a8b5e4a6b7
1004148	402.2	88GB	0GB	87.8	1.1	225.7	232	387	0	0	1.0	0.5	1	4	1217	9288	398	54.2		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-25T08:31:20	10.4.2		410c562319
986685	395.2	88GB	0GB	87.8	1.1	221.8	228	395	0	0	1.0	0.5	1	4	1220	9594	405	54.8		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-12-25T11:08:52	10.5.5		f4bf18a60b
