bm.lc.nt1.d1/9.8.clang/report.tsv
bm.lc.nt1.d1/9.9.clang/report.tsv
bm.lc.nt1.d1/9.10.clang/report.tsv
bm.lc.nt1.d1/9.11.clang/report.tsv
bm.lc.nt1.d1/10.0.clang/report.tsv
bm.lc.nt1.d1/10.1.clang/report.tsv
bm.lc.nt1.d1/10.2.clang/report.tsv
bm.lc.nt1.d1/10.3.clang/report.tsv
bm.lc.nt1.d1/10.4.clang/report.tsv
bm.lc.nt1.d1/10.5.clang/report.tsv
bm.lc.nt1.d1/10.6.clang/report.tsv
bm.lc.nt1.d1/10.7.clang/report.tsv
bm.lc.nt1.d1/10.8.clang/report.tsv
bm.lc.nt1.d1/10.9.clang/report.tsv
bm.lc.nt1.d1/10.10.clang/report.tsv

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
967989	387.7	88GB	0GB	87.8	1.1	217.6	402	373	0	0	1.0	0.5	1	4	1223	5900	413	56.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T02:57:25	9.8.4		44e95d8af5
986835	395.3	88GB	0GB	87.8	1.1	221.8	394	366	0	0	1.0	0.5	1	4	1222	5986	405	56.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T05:34:32	9.9.3		14d3046a53
979299	392.3	88GB	0GB	87.8	1.1	220.1	398	367	0	0	1.0	0.5	1	4	1222	6055	408	55.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T08:11:29	9.10.0		ae8fb3e500
972802	389.6	88GB	0GB	87.8	1.1	218.7	400	371	0	0	1.0	0.5	1	4	1223	9535	411	56.2		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T10:48:27	9.11.2		461d7f4464
998429	399.9	88GB	0GB	87.8	1.1	224.4	390	360	0	0	1.0	0.5	1	4	1218	9466	401	54.6		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T13:25:20	10.0.1		45f7473909
978053	391.8	88GB	0GB	87.8	1.1	219.8	398	371	0	0	1.0	0.5	1	4	1222	9299	409	56.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T16:01:49	10.1.3		5823cf08d6
992348	397.5	88GB	0GB	87.8	1.1	223.1	392	364	0	0	1.0	0.5	1	4	1219	9705	403	54.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T18:38:27	10.2.3		4a0a0f5ff4
969445	388.3	88GB	0GB	87.8	1.1	217.9	224	402	0	0	1.0	0.5	1	4	1223	6006	413	56.3		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T21:15:22	10.3.4		a8b5e4a6b7
951981	381.3	88GB	0GB	87.8	1.1	214.0	220	409	0	0	1.1	0.5	1	4	1225	10203	420	56.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-26T23:52:29	10.4.2		410c562319
976780	391.2	88GB	0GB	87.8	1.1	219.6	226	399	0	0	1.0	0.5	1	4	1221	5778	410	54.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T02:29:17	10.5.5		f4bf18a60b
645372	258.5	88GB	0GB	87.8	1.1	145.1	148	609	0	0	1.5	0.5	1	883	1260	9548	620	70.7		0.7	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T05:06:01	10.6.2		fae8a27fbd
1067727	427.7	87GB	0GB	87.4	1.1	239.0	246	364	0	0	0.9	0.5	1	4	1210	9751	375	52.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T07:46:48	10.7.6		bb4497729c
1050751	420.9	87GB	0GB	87.4	1.1	235.2	242	370	0	0	1.0	0.5	1	4	1212	5632	381	53.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T10:22:50	10.8.3		6bf472dace
1042615	417.6	87GB	0GB	87.4	1.1	233.4	240	373	0	0	1.0	0.5	1	4	1214	6940	384	54.0		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T12:58:59	10.9.1		5fbc1cd5bc
1052939	421.7	87GB	0GB	87.4	1.1	235.7	243	369	0	0	0.9	0.5	1	4	1206	6089	380	50.2		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-27T15:35:20	10.10.0		3798025699

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
114033	436.2	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	5267	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T03:04:21	9.8.4		44e95d8af5
113854	435.5	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	6126	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T05:41:21	9.9.3		14d3046a53
113487	434.1	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	5552	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T08:18:21	9.10.0		ae8fb3e500
116068	444.0	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.6	8.0	10	14	15	5523	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T10:55:21	9.11.2		461d7f4464
111548	426.7	88GB	0GB	0.1	NA	0.2	0	0	0	0	9.0	8.0	10	14	15	5392	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T13:32:04	10.0.1		45f7473909
113966	436.0	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	5815	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T16:08:41	10.1.3		5823cf08d6
112624	430.8	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.9	8.0	10	14	15	6444	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T18:45:13	10.2.3		4a0a0f5ff4
114623	438.5	88GB	0GB	0.1	NA	0.2	238	0	0	0	8.7	8.0	10	14	15	4603	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T21:22:18	10.3.4		a8b5e4a6b7
112225	429.3	88GB	0GB	0.1	NA	0.2	240	0	0	0	8.9	8.0	10	14	15	6233	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-26T23:59:32	10.4.2		410c562319
113472	434.1	88GB	0GB	0.1	NA	0.2	240	0	0	0	8.8	8.0	10	14	15	5838	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T02:36:09	10.5.5		f4bf18a60b
111586	426.8	88GB	0GB	0.1	NA	0.2	154	0	0	0	9.0	8.0	10	14	15	6965	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T05:16:24	10.6.2		fae8a27fbd
112146	428.9	87GB	0GB	0.1	NA	0.2	252	0	0	0	8.9	8.0	10	14	15	5338	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T07:53:05	10.7.6		bb4497729c
113459	434.0	87GB	0GB	0.1	NA	0.2	251	0	0	0	8.8	8.0	10	14	15	5327	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T10:29:14	10.8.3		6bf472dace
112071	428.7	87GB	0GB	0.1	NA	0.2	254	0	0	0	8.9	8.0	10	14	15	5646	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T13:05:26	10.9.1		5fbc1cd5bc
113522	434.2	87GB	0GB	0.1	NA	0.2	256	0	0	0	8.8	8.0	10	14	15	8101	300	0.0		0.3	0.0	NA	revrange.t1	2025-12-27T15:41:43	10.10.0		3798025699

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
