ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1403964	562.3	16GB	0GB	15.9	2.0	571.4	28	21	0	0	0.7	0.5	1	4	1131	10634	28	37.6	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-24T23:04:19	6.29.5		79f08d7ffa
1399887	560.7	16GB	0GB	15.9	2.0	569.8	28	21	0	0	0.7	0.5	1	4	1115	6220	29	34.3	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T08:56:19	7.0.4		985c8741ad
1394903	558.7	16GB	0GB	15.9	2.0	568.3	28	21	0	0	0.7	0.5	1	4	1086	11590	29	29.6	294	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T11:24:19	7.10.2		3258b5c3e2
1397602	559.8	16GB	0GB	15.9	2.0	569.4	28	21	0	0	0.7	0.5	1	3	1085	5463	29	29.5	294	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T18:46:40	8.0.0		fdf403f591
1395369	558.9	16GB	0GB	15.9	2.0	568.5	28	21	0	0	0.7	0.5	1	4	1098	11020	29	31.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T21:13:55	8.4.4		ffcfbaa584
1396417	559.3	16GB	0GB	15.9	2.0	568.9	28	21	0	0	0.7	0.5	1	4	1089	10130	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T23:41:16	8.8.1		986b8b9f20
1395372	558.9	16GB	0GB	15.9	2.0	568.5	28	21	0	0	0.7	0.5	1	4	1100	11285	29	31.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T02:08:20	8.11.4		5c2be544f5
1397711	559.8	16GB	0GB	15.9	2.0	569.4	28	21	0	0	0.7	0.5	1	4	1094	5950	29	30.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T14:23:38	9.0.1		36540d4355
1397865	559.9	16GB	0GB	15.9	2.0	569.5	28	22	0	0	0.7	0.5	1	4	1086	5575	29	29.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T16:50:29	9.4.1		7dbbca6e33
1398084	560.0	16GB	0GB	15.9	2.0	570.2	28	22	0	0	0.7	0.5	1	3	1061	14181	29	26.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T19:17:26	9.8.4		44e95d8af5
1398699	560.2	16GB	0GB	15.9	2.0	569.3	28	21	0	0	0.7	0.5	1	3	1068	9563	29	27.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T21:44:24	9.11.2		461d7f4464
1397303	559.7	16GB	0GB	15.9	2.0	569.3	28	22	0	0	0.7	0.5	1	4	1072	10038	29	27.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T09:59:27	10.0.1		45f7473909
1397159	559.6	16GB	0GB	15.9	2.0	569.2	28	22	0	0	0.7	0.5	1	4	1074	15440	29	28.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T12:26:40	10.1.3		5823cf08d6
1396956	559.5	16GB	0GB	15.9	2.0	569.2	28	22	0	0	0.7	0.5	1	4	1071	9469	29	27.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T14:53:47	10.2.3		4a0a0f5ff4
1397378	559.7	16GB	0GB	15.9	2.0	569.3	574	28	0	0	0.7	0.5	1	4	1069	5815	29	27.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T17:20:53	10.3.4		a8b5e4a6b7
1397815	559.9	16GB	0GB	15.9	2.0	569.0	574	28	0	0	0.7	0.5	1	4	1043	5709	29	24.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T19:48:00	10.4.2		410c562319
1396156	559.2	16GB	0GB	15.9	2.0	568.8	573	28	0	0	0.7	0.5	1	4	1052	6371	29	25.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T22:15:05	10.5.5		f4bf18a60b
1402205	561.6	16GB	0GB	15.9	2.0	570.2	575	28	0	0	0.7	0.5	1	4	1064	10690	28	27.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T00:42:06	10.6.2		fae8a27fbd
1400736	561.1	16GB	0GB	15.9	2.0	570.2	575	28	0	0	0.7	0.5	1	4	1048	5427	29	25.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T03:09:11	10.7.6		bb4497729c
1402263	561.7	16GB	0GB	15.9	2.0	570.8	576	28	0	0	0.7	0.5	1	4	1034	5968	28	23.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T05:36:21	10.8.3		6bf472dace

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
117325	448.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.5	8.0	12	15	19	410	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-24T23:04:49	6.29.5		79f08d7ffa
117789	450.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.5	8.0	12	15	20	371	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T08:56:49	7.0.4		985c8741ad
153583	587.5	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.5	6.0	10	14	15	448	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T11:24:49	7.10.2		3258b5c3e2
155237	593.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.4	5.8	10	14	15	406	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T18:47:10	8.0.0		fdf403f591
146628	560.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.4	10	14	15	395	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-25T21:14:25	8.4.4		ffcfbaa584
134928	516.1	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.4	7.9	11	15	15	393	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-25T23:41:45	8.8.1		986b8b9f20
133026	508.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.5	7.9	12	15	15	389	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T02:08:50	8.11.4		5c2be544f5
135217	517.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.4	7.9	11	15	15	364	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T14:24:07	9.0.1		36540d4355
142172	543.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.0	7.8	11	15	15	354	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T16:50:58	9.4.1		7dbbca6e33
125910	481.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.9	8.0	12	15	16	372	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T19:17:56	9.8.4		44e95d8af5
138300	529.0	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.2	7.9	11	15	15	399	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T21:44:54	9.11.2		461d7f4464
141113	539.7	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.1	7.8	11	15	15	329	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T09:59:57	10.0.1		45f7473909
140066	535.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.1	7.8	11	15	15	398	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T12:27:10	10.1.3		5823cf08d6
140583	537.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.1	7.8	11	15	15	380	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T14:54:17	10.2.3		4a0a0f5ff4
139980	535.5	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.1	7.8	11	15	15	303	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T17:21:23	10.3.4		a8b5e4a6b7
