ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1371997	549.5	16GB	0GB	15.9	2.0	559.5	29	22	0	0	0.7	0.5	1	4	1135	9372	29	37.8	296	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-24T20:36:19	6.29.5		79f08d7ffa
1404941	562.7	16GB	0GB	15.9	2.0	572.9	28	21	0	0	0.7	0.5	1	4	1135	10338	28	38.7	296	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T01:32:39	6.29.5		79f08d7ffa
1400378	560.9	16GB	0GB	15.9	2.0	570.0	28	20	0	0	0.7	0.5	1	4	1127	8378	29	36.7	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T13:51:38	7.0.4		985c8741ad
1398474	560.1	16GB	0GB	15.9	2.0	569.2	28	21	0	0	0.7	0.5	1	4	1104	8670	29	32.4	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T16:19:38	7.10.2		3258b5c3e2
1399926	560.7	16GB	0GB	15.9	2.0	570.4	28	21	0	0	0.7	0.5	1	4	1106	5980	29	32.8	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T04:35:22	8.0.0		fdf403f591
1400079	560.8	16GB	0GB	15.9	2.0	569.9	28	21	0	0	0.7	0.5	1	4	1110	6046	29	33.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T07:02:34	8.4.4		ffcfbaa584
1396336	559.3	16GB	0GB	15.9	2.0	568.3	28	21	0	0	0.7	0.5	1	4	1108	7186	29	33.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T09:29:45	8.8.1		986b8b9f20
1399611	560.6	16GB	0GB	15.9	2.0	570.2	28	21	0	0	0.7	0.5	1	4	1108	5779	29	33.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T11:56:40	8.11.4		5c2be544f5
1398149	560.0	16GB	0GB	15.9	2.0	569.6	28	21	0	0	0.7	0.5	1	4	1105	6209	29	32.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T00:11:39	9.0.1		36540d4355
1391369	557.3	16GB	0GB	15.9	2.0	566.9	29	22	0	0	0.7	0.5	1	4	1104	13775	29	32.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T02:38:30	9.4.1		7dbbca6e33
1394600	558.6	16GB	0GB	15.9	2.0	568.2	28	21	0	0	0.7	0.5	1	4	1080	10452	29	28.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T05:05:30	9.8.4		44e95d8af5
1393705	558.2	16GB	0GB	15.9	2.0	567.8	28	21	0	0	0.7	0.5	1	4	1090	8830	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T07:32:20	9.11.2		461d7f4464
1391624	557.4	16GB	0GB	15.9	2.0	567.0	29	22	0	0	0.7	0.5	1	4	1093	6820	29	30.5		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T08:03:32	10.0.1		45f7473909
1390515	557.0	16GB	0GB	15.9	2.0	566.5	29	22	0	0	0.7	0.5	1	4	1095	19204	29	30.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T10:30:34	10.1.3		5823cf08d6
1392708	557.8	16GB	0GB	15.9	2.0	567.4	29	22	0	0	0.7	0.5	1	4	1096	5999	29	31.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T12:57:46	10.2.3		4a0a0f5ff4
1393871	558.3	16GB	0GB	15.9	2.0	567.4	572	28	0	0	0.7	0.5	1	4	1090	9507	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T15:24:52	10.3.4		a8b5e4a6b7
1393698	558.2	16GB	0GB	15.9	2.0	567.8	572	28	0	0	0.7	0.5	1	4	1086	9441	29	29.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T17:51:55	10.4.2		410c562319
1394491	558.6	16GB	0GB	15.9	2.0	568.2	573	28	0	0	0.7	0.5	1	4	1090	9341	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T20:19:08	10.5.5		f4bf18a60b
1396330	559.3	16GB	0GB	15.9	2.0	568.9	573	28	0	0	0.7	0.5	1	3	1084	10886	29	29.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T22:46:22	10.6.2		fae8a27fbd
1394047	558.4	16GB	0GB	15.9	2.0	568.0	572	28	0	0	0.7	0.5	1	4	1089	8006	29	29.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T01:13:28	10.7.6		bb4497729c
1395475	558.9	16GB	0GB	15.9	2.0	568.6	573	28	0	0	0.7	0.5	1	4	1076	9137	29	28.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T03:40:39	10.8.3		6bf472dace

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
116942	447.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.6	8.0	12	15	20	379	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-24T20:36:49	6.29.5		79f08d7ffa
126847	485.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.9	8.0	12	15	15	361	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T01:33:09	6.29.5		79f08d7ffa
126639	484.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.9	8.0	12	15	15	1478	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T13:52:08	7.0.4		985c8741ad
166847	638.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.0	5.1	10	14	15	359	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T16:20:08	7.10.2		3258b5c3e2
168276	643.7	16GB	0GB	0.0	NA	0.0	0	0	0	0	5.9	5.0	10	14	15	350	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-26T04:35:52	8.0.0		fdf403f591
155756	595.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.4	5.7	10	14	15	350	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T07:03:04	8.4.4		ffcfbaa584
146405	560.0	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.4	10	14	15	361	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T09:30:15	8.8.1		986b8b9f20
144737	553.7	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.9	7.6	10	15	15	375	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T11:57:09	8.11.4		5c2be544f5
143426	548.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.0	7.7	10	15	15	364	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T00:12:09	9.0.1		36540d4355
151450	579.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.6	10	14	15	1795	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T02:39:00	9.4.1		7dbbca6e33
152482	583.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.4	10	14	15	381	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T05:06:00	9.8.4		44e95d8af5
152758	584.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.5	6.3	10	14	15	402	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-27T07:32:50	9.11.2		461d7f4464
150532	575.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.8	10	14	15	418	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T08:04:02	10.0.1		45f7473909
151883	581.0	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.5	10	14	15	362	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T10:31:04	10.1.3		5823cf08d6
152249	582.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.4	10	14	15	382	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T12:58:16	10.2.3		4a0a0f5ff4
147753	565.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.3	10	15	15	375	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T15:25:22	10.3.4		a8b5e4a6b7
150003	573.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.7	6.9	10	14	15	370	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T17:52:25	10.4.2		410c562319
150128	574.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.7	6.9	10	14	15	382	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T20:19:38	10.5.5		f4bf18a60b
151086	577.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.7	10	14	15	363	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-28T22:46:52	10.6.2		fae8a27fbd
150106	574.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.7	6.9	10	14	15	325	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-29T01:13:58	10.7.6		bb4497729c
149061	570.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.7	7.1	10	14	15	384	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-29T03:41:09	10.8.3		6bf472dace

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
463192	185.5	18GB	0GB	5.1	4.2	604.5	16	7	0	0	2.2	1.5	4	10	114	8745	9	0.2	1	0.0	0.0	NA	overwritesome.t1.s0	2025-11-24T20:41:50	6.29.5		79f08d7ffa
470849	188.6	18GB	0GB	5.3	4.3	641.2	18	7	0	0	2.1	1.5	4	10	477	4164	8	1.8	4	0.0	0.0	NA	overwritesome.t1.s0	2025-11-25T01:38:10	6.29.5		79f08d7ffa
488143	195.5	18GB	0GB	4.7	3.9	585.4	16	6	0	0	2.0	1.4	4	9	78	4624	8	0.0	0	0.0	0.0	NA	overwritesome.t1.s0	2025-11-25T13:57:09	7.0.4		985c8741ad
479007	191.9	18GB	0GB	4.4	3.7	533.2	16	6	0	0	2.1	1.4	4	10	906	13960	8	2.3	5	0.0	0.0	NA	overwritesome.t1.s0	2025-11-25T16:25:09	7.10.2		3258b5c3e2
486749	195.0	18GB	0GB	4.3	3.7	534.4	16	6	0	0	2.1	1.4	4	10	245	4238	8	1.4	2	0.0	0.0	NA	overwritesome.t1.s0	2025-11-26T04:40:53	8.0.0		fdf403f591
476670	190.9	18GB	0GB	4.4	3.7	539.9	16	6	0	0	2.1	1.4	4	10	156	64295	8	0.6		0.0	0.0	NA	overwritesome.t1.s0	2025-11-26T07:08:05	8.4.4		ffcfbaa584
465370	186.4	18GB	0GB	5.3	4.3	632.2	19	7	0	0	2.1	1.4	4	10	973	3875	9	3.7		0.0	0.0	NA	overwritesome.t1.s0	2025-11-26T09:35:16	8.8.1		986b8b9f20
462118	185.1	18GB	0GB	4.8	4.0	562.4	18	7	0	0	2.2	1.5	4	10	169	6243	9	0.0		0.0	0.0	NA	overwritesome.t1.s0	2025-11-26T12:02:11	8.11.4		5c2be544f5
472474	189.2	18GB	0GB	5.1	4.2	616.9	18	7	0	0	2.1	1.5	4	10	125	6327	8	0.3		0.0	0.0	NA	overwritesome.t1.s0	2025-11-27T00:17:10	9.0.1		36540d4355
