bm.lc.nt1.d0/6.29.gcc/report.tsv
bm.lc.nt1.d0/6.29.clang/report.tsv
bm.lc.nt1.d0/6.29.clang.lto/report.tsv
bm.lc.nt1.d0/7.0.gcc/report.tsv
bm.lc.nt1.d0/7.10.gcc/report.tsv
bm.lc.nt1.d0/7.0.clang/report.tsv
bm.lc.nt1.d0/7.10.clang/report.tsv
bm.lc.nt1.d0/7.0.clang.lto/report.tsv
bm.lc.nt1.d0/7.10.clang.lto/report.tsv
bm.lc.nt1.d0/8.0.clang/report.tsv
bm.lc.nt1.d0/8.4.clang/report.tsv
bm.lc.nt1.d0/8.8.clang/report.tsv
bm.lc.nt1.d0/8.11.clang/report.tsv
bm.lc.nt1.d0/8.0.clang.lto/report.tsv
bm.lc.nt1.d0/8.4.clang.lto/report.tsv
bm.lc.nt1.d0/8.8.clang.lto/report.tsv
bm.lc.nt1.d0/8.11.clang.lto/report.tsv
bm.lc.nt1.d0/9.0.clang/report.tsv
bm.lc.nt1.d0/9.4.clang/report.tsv
bm.lc.nt1.d0/9.8.clang/report.tsv
bm.lc.nt1.d0/9.11.clang/report.tsv
bm.lc.nt1.d0/9.0.clang.lto/report.tsv
bm.lc.nt1.d0/9.4.clang.lto/report.tsv
bm.lc.nt1.d0/9.8.clang.lto/report.tsv
bm.lc.nt1.d0/9.11.clang.lto/report.tsv
bm.lc.nt1.d0/10.0.clang/report.tsv
bm.lc.nt1.d0/10.1.clang/report.tsv
bm.lc.nt1.d0/10.2.clang/report.tsv
bm.lc.nt1.d0/10.3.clang/report.tsv
bm.lc.nt1.d0/10.4.clang/report.tsv
bm.lc.nt1.d0/10.5.clang/report.tsv
bm.lc.nt1.d0/10.6.clang/report.tsv
bm.lc.nt1.d0/10.7.clang/report.tsv
bm.lc.nt1.d0/10.8.clang/report.tsv
bm.lc.nt1.d0/10.0.clang.lto/report.tsv
bm.lc.nt1.d0/10.1.clang.lto/report.tsv
bm.lc.nt1.d0/10.2.clang.lto/report.tsv
bm.lc.nt1.d0/10.3.clang.lto/report.tsv
bm.lc.nt1.d0/10.4.clang.lto/report.tsv
bm.lc.nt1.d0/10.5.clang.lto/report.tsv
bm.lc.nt1.d0/10.6.clang.lto/report.tsv
bm.lc.nt1.d0/10.7.clang.lto/report.tsv
bm.lc.nt1.d0/10.8.clang.lto/report.tsv

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1371997	549.5	16GB	0GB	15.9	2.0	559.5	29	22	0	0	0.7	0.5	1	4	1135	9372	29	37.8	296	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-24T20:36:19	6.29.5		79f08d7ffa
1403964	562.3	16GB	0GB	15.9	2.0	571.4	28	21	0	0	0.7	0.5	1	4	1131	10634	28	37.6	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-24T23:04:19	6.29.5		79f08d7ffa
1404941	562.7	16GB	0GB	15.9	2.0	572.9	28	21	0	0	0.7	0.5	1	4	1135	10338	28	38.7	296	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T01:32:39	6.29.5		79f08d7ffa
1367938	547.9	16GB	0GB	15.9	2.0	556.8	29	22	0	0	0.7	0.5	1	4	1128	9632	29	36.1	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T04:00:48	7.0.4		985c8741ad
1365297	546.9	16GB	0GB	15.9	2.0	556.2	29	22	0	0	0.7	0.5	1	4	1061	6328	29	25.9	273	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T06:28:59	7.10.2		3258b5c3e2
1399887	560.7	16GB	0GB	15.9	2.0	569.8	28	21	0	0	0.7	0.5	1	4	1115	6220	29	34.3	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T08:56:19	7.0.4		985c8741ad
1394903	558.7	16GB	0GB	15.9	2.0	568.3	28	21	0	0	0.7	0.5	1	4	1086	11590	29	29.6	294	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T11:24:19	7.10.2		3258b5c3e2
1400378	560.9	16GB	0GB	15.9	2.0	570.0	28	20	0	0	0.7	0.5	1	4	1127	8378	29	36.7	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T13:51:38	7.0.4		985c8741ad
1398474	560.1	16GB	0GB	15.9	2.0	569.2	28	21	0	0	0.7	0.5	1	4	1104	8670	29	32.4	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T16:19:38	7.10.2		3258b5c3e2
1397602	559.8	16GB	0GB	15.9	2.0	569.4	28	21	0	0	0.7	0.5	1	3	1085	5463	29	29.5	294	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T18:46:40	8.0.0		fdf403f591
1395369	558.9	16GB	0GB	15.9	2.0	568.5	28	21	0	0	0.7	0.5	1	4	1098	11020	29	31.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T21:13:55	8.4.4		ffcfbaa584
1396417	559.3	16GB	0GB	15.9	2.0	568.9	28	21	0	0	0.7	0.5	1	4	1089	10130	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-25T23:41:16	8.8.1		986b8b9f20
1395372	558.9	16GB	0GB	15.9	2.0	568.5	28	21	0	0	0.7	0.5	1	4	1100	11285	29	31.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T02:08:20	8.11.4		5c2be544f5
1399926	560.7	16GB	0GB	15.9	2.0	570.4	28	21	0	0	0.7	0.5	1	4	1106	5980	29	32.8	295	0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T04:35:22	8.0.0		fdf403f591
1400079	560.8	16GB	0GB	15.9	2.0	569.9	28	21	0	0	0.7	0.5	1	4	1110	6046	29	33.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T07:02:34	8.4.4		ffcfbaa584
1396336	559.3	16GB	0GB	15.9	2.0	568.3	28	21	0	0	0.7	0.5	1	4	1108	7186	29	33.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T09:29:45	8.8.1		986b8b9f20
1399611	560.6	16GB	0GB	15.9	2.0	570.2	28	21	0	0	0.7	0.5	1	4	1108	5779	29	33.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T11:56:40	8.11.4		5c2be544f5
1397711	559.8	16GB	0GB	15.9	2.0	569.4	28	21	0	0	0.7	0.5	1	4	1094	5950	29	30.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T14:23:38	9.0.1		36540d4355
1397865	559.9	16GB	0GB	15.9	2.0	569.5	28	22	0	0	0.7	0.5	1	4	1086	5575	29	29.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T16:50:29	9.4.1		7dbbca6e33
1398084	560.0	16GB	0GB	15.9	2.0	570.2	28	22	0	0	0.7	0.5	1	3	1061	14181	29	26.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T19:17:26	9.8.4		44e95d8af5
1398699	560.2	16GB	0GB	15.9	2.0	569.3	28	21	0	0	0.7	0.5	1	3	1068	9563	29	27.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-26T21:44:24	9.11.2		461d7f4464
1398149	560.0	16GB	0GB	15.9	2.0	569.6	28	21	0	0	0.7	0.5	1	4	1105	6209	29	32.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T00:11:39	9.0.1		36540d4355
1391369	557.3	16GB	0GB	15.9	2.0	566.9	29	22	0	0	0.7	0.5	1	4	1104	13775	29	32.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T02:38:30	9.4.1		7dbbca6e33
1394600	558.6	16GB	0GB	15.9	2.0	568.2	28	21	0	0	0.7	0.5	1	4	1080	10452	29	28.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T05:05:30	9.8.4		44e95d8af5
1393705	558.2	16GB	0GB	15.9	2.0	567.8	28	21	0	0	0.7	0.5	1	4	1090	8830	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T07:32:20	9.11.2		461d7f4464
1397303	559.7	16GB	0GB	15.9	2.0	569.3	28	22	0	0	0.7	0.5	1	4	1072	10038	29	27.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T09:59:27	10.0.1		45f7473909
1397159	559.6	16GB	0GB	15.9	2.0	569.2	28	22	0	0	0.7	0.5	1	4	1074	15440	29	28.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T12:26:40	10.1.3		5823cf08d6
1396956	559.5	16GB	0GB	15.9	2.0	569.2	28	22	0	0	0.7	0.5	1	4	1071	9469	29	27.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T14:53:47	10.2.3		4a0a0f5ff4
1397378	559.7	16GB	0GB	15.9	2.0	569.3	574	28	0	0	0.7	0.5	1	4	1069	5815	29	27.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T17:20:53	10.3.4		a8b5e4a6b7
1397815	559.9	16GB	0GB	15.9	2.0	569.0	574	28	0	0	0.7	0.5	1	4	1043	5709	29	24.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T19:48:00	10.4.2		410c562319
1396156	559.2	16GB	0GB	15.9	2.0	568.8	573	28	0	0	0.7	0.5	1	4	1052	6371	29	25.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-27T22:15:05	10.5.5		f4bf18a60b
1402205	561.6	16GB	0GB	15.9	2.0	570.2	575	28	0	0	0.7	0.5	1	4	1064	10690	28	27.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T00:42:06	10.6.2		fae8a27fbd
1400736	561.1	16GB	0GB	15.9	2.0	570.2	575	28	0	0	0.7	0.5	1	4	1048	5427	29	25.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T03:09:11	10.7.6		bb4497729c
1402263	561.7	16GB	0GB	15.9	2.0	570.8	576	28	0	0	0.7	0.5	1	4	1034	5968	28	23.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T05:36:21	10.8.3		6bf472dace
1391624	557.4	16GB	0GB	15.9	2.0	567.0	29	22	0	0	0.7	0.5	1	4	1093	6820	29	30.5		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T08:03:32	10.0.1		45f7473909
1390515	557.0	16GB	0GB	15.9	2.0	566.5	29	22	0	0	0.7	0.5	1	4	1095	19204	29	30.8		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T10:30:34	10.1.3		5823cf08d6
1392708	557.8	16GB	0GB	15.9	2.0	567.4	29	22	0	0	0.7	0.5	1	4	1096	5999	29	31.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T12:57:46	10.2.3		4a0a0f5ff4
1393871	558.3	16GB	0GB	15.9	2.0	567.4	572	28	0	0	0.7	0.5	1	4	1090	9507	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T15:24:52	10.3.4		a8b5e4a6b7
1393698	558.2	16GB	0GB	15.9	2.0	567.8	572	28	0	0	0.7	0.5	1	4	1086	9441	29	29.6		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T17:51:55	10.4.2		410c562319
1394491	558.6	16GB	0GB	15.9	2.0	568.2	573	28	0	0	0.7	0.5	1	4	1090	9341	29	30.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T20:19:08	10.5.5		f4bf18a60b
1396330	559.3	16GB	0GB	15.9	2.0	568.9	573	28	0	0	0.7	0.5	1	3	1084	10886	29	29.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-28T22:46:22	10.6.2		fae8a27fbd
1394047	558.4	16GB	0GB	15.9	2.0	568.0	572	28	0	0	0.7	0.5	1	4	1089	8006	29	29.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T01:13:28	10.7.6		bb4497729c
1395475	558.9	16GB	0GB	15.9	2.0	568.6	573	28	0	0	0.7	0.5	1	4	1076	9137	29	28.3		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T03:40:39	10.8.3		6bf472dace

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
116942	447.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.6	8.0	12	15	20	379	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-24T20:36:49	6.29.5		79f08d7ffa
117325	448.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.5	8.0	12	15	19	410	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-24T23:04:49	6.29.5		79f08d7ffa
126847	485.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.9	8.0	12	15	15	361	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T01:33:09	6.29.5		79f08d7ffa
115787	442.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.6	8.0	12	15	20	381	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T04:01:19	7.0.4		985c8741ad
152586	583.7	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.3	10	14	15	1354	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T06:29:30	7.10.2		3258b5c3e2
117789	450.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	8.5	8.0	12	15	20	371	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T08:56:49	7.0.4		985c8741ad
153583	587.5	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.5	6.0	10	14	15	448	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T11:24:49	7.10.2		3258b5c3e2
126639	484.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.9	8.0	12	15	15	1478	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T13:52:08	7.0.4		985c8741ad
166847	638.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.0	5.1	10	14	15	359	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T16:20:08	7.10.2		3258b5c3e2
155237	593.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.4	5.8	10	14	15	406	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-25T18:47:10	8.0.0		fdf403f591
146628	560.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.4	10	14	15	395	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-25T21:14:25	8.4.4		ffcfbaa584
134928	516.1	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.4	7.9	11	15	15	393	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-25T23:41:45	8.8.1		986b8b9f20
133026	508.9	16GB	0GB	0.0	NA	0.0	0	0	0	0	7.5	7.9	12	15	15	389	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T02:08:50	8.11.4		5c2be544f5
168276	643.7	16GB	0GB	0.0	NA	0.0	0	0	0	0	5.9	5.0	10	14	15	350	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-11-26T04:35:52	8.0.0		fdf403f591
155756	595.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	6.4	5.7	10	14	15	350	300	0.0		0.3	0.0	NA	revrange.t1	2025-11-26T07:03:04	8.4.4		ffcfbaa584
