ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1360814	545.1	88GB	0GB	87.8	1.1	305.8	291	289	0	0	0.7	0.5	1	4	1140	5999	294	38.5	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T06:07:47	6.29.5		79f08d7ffa
1392197	557.6	88GB	0GB	87.8	1.1	312.9	284	283	0	0	0.7	0.5	1	4	1136	9348	287	38.3	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T08:45:44	6.29.5		79f08d7ffa
1385208	554.8	88GB	0GB	87.8	1.1	311.3	286	284	0	0	0.7	0.5	1	4	1124	9267	289	35.8	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T19:13:51	7.0.4		985c8741ad
1373836	550.3	88GB	0GB	87.8	1.1	308.8	289	287	0	0	0.7	0.5	1	3	1099	6610	291	31.0	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T21:51:50	7.10.2		3258b5c3e2
1373487	550.1	88GB	0GB	87.8	1.1	308.7	289	287	0	0	0.7	0.5	1	3	1100	5840	291	31.2	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T05:42:10	8.0.0		fdf403f591
1364569	546.6	88GB	0GB	87.8	1.1	306.7	291	289	0	0	0.7	0.5	1	4	1117	5900	293	33.8		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T08:17:24	8.4.4		ffcfbaa584
1349022	540.3	88GB	0GB	87.8	1.1	303.2	294	292	0	0	0.7	0.5	1	4	1115	10016	296	33.0		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T10:52:35	8.8.1		986b8b9f20
1348556	540.2	88GB	0GB	87.8	1.1	303.2	294	292	0	0	0.7	0.5	1	3	1121	11908	297	34.2		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T13:27:40	8.11.4		5c2be544f5
1360638	545.0	88GB	0GB	87.8	1.1	305.9	292	290	0	0	0.7	0.5	1	3	1115	9793	294	33.3		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T02:22:37	9.0.1		36540d4355
1349014	540.3	88GB	0GB	87.8	1.1	303.3	294	292	0	0	0.7	0.5	1	4	1113	11587	296	32.7		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T04:57:35	9.4.1		7dbbca6e33
1350498	540.9	88GB	0GB	87.8	1.1	303.6	294	292	0	0	0.7	0.5	1	3	1091	5871	296	29.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T07:32:48	9.8.4		44e95d8af5
1361427	545.3	88GB	0GB	87.8	1.1	306.0	291	290	0	0	0.7	0.5	1	3	1093	5991	294	29.8		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T10:07:46	9.11.2		461d7f4464
1359763	544.6	88GB	0GB	87.8	1.1	305.7	292	290	0	0	0.7	0.5	1	4	1095	8195	294	30.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T23:02:42	10.0.1		45f7473909
1343401	538.1	88GB	0GB	87.8	1.1	302.0	295	294	0	0	0.7	0.5	1	4	1107	5769	298	31.6		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-2T01:37:38	10.1.3		5823cf08d6
1352036	541.5	88GB	0GB	87.8	1.1	303.9	293	292	0	0	0.7	0.5	1	4	1098	13866	296	30.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-2T04:12:41	10.2.3		4a0a0f5ff4
1361817	545.5	88GB	0GB	87.8	1.1	306.1	309	291	0	0	0.7	0.5	1	4	1092	6002	294	29.8		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-2T06:47:40	10.3.4		a8b5e4a6b7
