ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1316665	527.4	88GB	0GB	87.8	1.1	295.9	301	284	0	0	0.8	0.5	1	4	1153	5867	304	40.4	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T21:39:05	6.29.5		79f08d7ffa
1367645	547.8	88GB	0GB	87.8	1.1	307.4	290	273	0	0	0.7	0.5	1	3	1146	5985	292	40.3	2981	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T02:58:36	6.29.5		79f08d7ffa
1355826	543.1	88GB	0GB	87.8	1.1	304.7	293	275	0	0	0.7	0.5	1	4	1143	5867	295	39.2	2981	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T16:12:36	7.0.4		985c8741ad
1355258	542.8	88GB	0GB	87.8	1.1	304.6	293	276	0	0	0.7	0.5	1	4	1124	5910	295	34.9	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T18:53:06	7.10.2		3258b5c3e2
1354534	542.5	88GB	0GB	87.8	1.1	304.4	293	276	0	0	0.7	0.5	1	3	1129	9891	295	36.1	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T07:53:10	8.0.0		fdf403f591
1354711	542.6	88GB	0GB	87.8	1.1	304.5	293	275	0	0	0.7	0.5	1	4	1131	5955	295	36.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T10:29:05	8.4.4		ffcfbaa584
1340563	537.0	88GB	0GB	87.8	1.1	301.3	296	278	0	0	0.7	0.5	1	4	1135	5980	298	37.0		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T13:05:03	8.8.1		986b8b9f20
1348865	540.3	88GB	0GB	87.8	1.1	303.2	294	277	0	0	0.7	0.5	1	4	1129	8398	296	35.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T15:40:58	8.11.4		5c2be544f5
1338932	536.3	88GB	0GB	87.8	1.1	301.0	297	279	0	0	0.7	0.5	1	4	1131	9629	299	36.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T04:40:53	9.0.1		36540d4355
1317070	527.5	88GB	0GB	87.8	1.1	296.1	301	284	0	0	0.8	0.5	1	3	1136	6014	304	36.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T07:16:53	9.4.1		7dbbca6e33
