ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1316665	527.4	88GB	0GB	87.8	1.1	295.9	301	284	0	0	0.8	0.5	1	4	1153	5867	304	40.4	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T21:39:05	6.29.5		79f08d7ffa
1354898	542.7	88GB	0GB	87.8	1.1	304.5	292	275	0	0	0.7	0.5	1	4	1147	6037	295	39.9	2981	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T00:18:24	6.29.5		79f08d7ffa
1346465	539.3	88GB	0GB	87.8	1.1	302.6	294	277	0	0	0.7	0.5	1	4	1138	6020	297	37.6	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T10:55:27	7.0.4		985c8741ad
1317516	527.7	88GB	0GB	87.8	1.1	296.1	301	284	0	0	0.8	0.5	1	4	1125	6046	304	34.2	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T13:36:24	7.10.2		3258b5c3e2
1327117	531.6	88GB	0GB	87.8	1.1	298.3	299	282	0	0	0.8	0.5	1	3	1121	5909	301	33.7	2981	0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-4T21:28:55	8.0.0		fdf403f591
1332530	533.7	88GB	0GB	87.8	1.1	299.5	298	280	0	0	0.8	0.5	1	3	1129	5807	300	35.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T00:05:05	8.4.4		ffcfbaa584
1331447	533.3	88GB	0GB	87.8	1.1	299.3	298	281	0	0	0.8	0.5	1	4	1122	5994	300	33.9		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T02:41:23	8.8.1		986b8b9f20
1326057	531.1	88GB	0GB	87.8	1.1	298.1	299	282	0	0	0.8	0.5	1	3	1129	5967	302	35.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T05:17:15	8.11.4		5c2be544f5
1327804	531.8	88GB	0GB	87.8	1.1	298.5	299	281	0	0	0.8	0.5	1	4	1126	9308	301	34.7		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T18:16:46	9.0.1		36540d4355
1317730	527.8	88GB	0GB	87.8	1.1	296.2	301	284	0	0	0.8	0.5	1	3	1126	9096	304	34.3		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T20:52:40	9.4.1		7dbbca6e33
1309371	524.5	88GB	0GB	87.8	1.1	294.3	303	285	0	0	0.8	0.5	1	4	1111	5937	306	31.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-5T23:28:43	9.8.4		44e95d8af5
1331835	533.5	88GB	0GB	87.8	1.1	299.3	298	280	0	0	0.8	0.5	1	4	1106	9287	300	31.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T02:04:44	9.11.2		461d7f4464
1330519	532.9	88GB	0GB	87.8	1.1	299.1	298	281	0	0	0.8	0.5	1	4	1107	5963	301	31.3		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T15:04:44	10.0.1		45f7473909
1309166	524.4	88GB	0GB	87.8	1.1	294.3	303	286	0	0	0.8	0.5	1	4	1117	5838	306	32.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T17:41:00	10.1.3		5823cf08d6
1323764	530.2	88GB	0GB	87.8	1.1	297.6	300	282	0	0	0.8	0.5	1	3	1113	5943	302	32.1		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T20:17:12	10.2.3		4a0a0f5ff4
1314030	526.3	88GB	0GB	87.8	1.1	295.4	298	302	0	0	0.8	0.5	1	4	1116	5765	304	32.3		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-6T22:53:21	10.3.4		a8b5e4a6b7
1326197	531.2	88GB	0GB	87.8	1.1	298.1	300	299	0	0	0.8	0.5	1	4	1095	9598	302	29.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-7T01:29:16	10.4.2		410c562319
1303717	522.2	88GB	0GB	87.8	1.1	293.1	295	304	0	0	0.8	0.5	1	4	1108	5867	307	30.8		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-7T04:05:26	10.5.5		f4bf18a60b
813603	325.9	88GB	0GB	87.8	1.1	182.9	184	489	0	0	1.2	0.5	1	6	1236	6004	492	57.8		0.7	0.0	NA	fillseq.wal_disabled.v400	2025-12-7T06:41:52	10.6.2		fae8a27fbd
1391961	557.5	87GB	0GB	87.5	1.1	311.6	315	284	0	0	0.7	0.5	1	4	1053	5998	287	25.7		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-7T09:21:19	10.7.6		bb4497729c
1396987	559.6	87GB	0GB	87.5	1.1	312.7	316	283	0	0	0.7	0.5	1	4	1038	6032	286	24.2		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-7T11:57:22	10.8.3		6bf472dace

