hot-points_range=100,351937,352293,352507,351586,348268,352219
point-query_range=100,146784,147491,134162,131563,134022,130233
points-covered-pk_range=100,61816,61739,63006,62374,63055,62644
points-covered-si_range=100,58969,59920,61452,60134,60686,59165
points-notcovered-pk_range=100,1810,1857,1881,1944,1968,2177
points-notcovered-si_range=100,2240,2226,2119,2285,2138,2269
random-points_range=1000,197,196,178,195,194,189
random-points_range=100,1881,1984,1805,1845,1787,1976
random-points_range=10,18699,18500,18404,16439,17891,18272
range-covered-pk_range=100,458028,465273,463775,459111,463971,468238
range-covered-si_range=100,315288,321803,320581,310693,319380,323606
range-notcovered-pk_range=100,31265,31047,29975,30706,27950,33414
range-notcovered-si_range=100,2500,2607,2726,2571,2893,2585
read-only-count_range=1000,7336,7129,6893,6891,5528,7633
read-only-distinct_range=1000,52828,52475,52365,52522,46354,53896
read-only-order_range=1000,52634,52765,52603,52221,44906,53629
read-only_range=10000,3999,3552,3641,3681,3786,3528
read-only_range=100,80128,74702,73558,73697,60136,80736
read-only_range=10,156507,123366,123603,132944,118023,141891
read-only-simple_range=1000,58899,58152,58085,58958,46288,61381
read-only-sum_range=1000,60981,60413,60661,59958,50191,62661
scan_range=100,1015,709,919,1174,1275,1625
scan.warm_range=100,976,745,965,1120,1301,1445
delete_range=100,52287,51946,51014,50982,47428,53624
insert_range=100,28312,26573,26168,25856,23014,27038
read-write_range=100,25449,27415,24192,23068,21165,24474
read-write_range=10,31036,31146,30455,27659,25262,33498
update-index_range=100,17943,17477,17122,16734,15884,17513
update-inlist_range=100,2224,2054,2043,2088,1912,2092
update-nonindex_range=100,24538,22827,22694,22710,20971,22874
update-one_range=100,172031,171647,172889,173715,173295,174004
update-zipf_range=100,31901,26722,26446,26688,25355,28074
write-only_range=10000,26216,24323,23436,24321,22366,24533
