Relative to: x.pg181_o2nofp.x10b_c32r128.pk1
col-1 : x.pg181_o2nofp.x10c_c32r128.pk1
col-2 : x.pg181_o2nofp.x10cw8_c32r128.pk1
col-3 : x.pg181_o2nofp.x10cw16_c32r128.pk1
col-4 : x.pg181_o2nofp.x10cw32_c32r128.pk1
col-5 : x.pg181_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
1.00	1.00	1.00	0.99	1.00	hot-points_range=100
1.00	0.91	0.90	0.91	0.89	point-query_range=100
1.00	1.02	1.01	1.02	1.01	points-covered-pk_range=100
1.02	1.04	1.02	1.03	1.00	points-covered-si_range=100
1.03	1.04	1.07	1.09	1.20	points-notcovered-pk_range=100
0.99	0.95	1.02	0.95	1.01	points-notcovered-si_range=100
0.99	0.90	0.99	0.98	0.96	random-points_range=1000
1.05	0.96	0.98	0.95	1.05	random-points_range=100
0.99	0.98	0.88	0.96	0.98	random-points_range=10
1.02	1.01	1.00	1.01	1.02	range-covered-pk_range=100
1.02	1.02	0.99	1.01	1.03	range-covered-si_range=100
0.99	0.96	0.98	0.89	1.07	range-notcovered-pk_range=100
1.04	1.09	1.03	1.16	1.03	range-notcovered-si_range=100
0.97	0.94	0.94	0.75	1.04	read-only-count_range=1000
0.99	0.99	0.99	0.88	1.02	read-only-distinct_range=1000
1.00	1.00	0.99	0.85	1.02	read-only-order_range=1000
0.89	0.91	0.92	0.95	0.88	read-only_range=10000
0.93	0.92	0.92	0.75	1.01	read-only_range=100
0.79	0.79	0.85	0.75	0.91	read-only_range=10
0.99	0.99	1.00	0.79	1.04	read-only-simple_range=1000
0.99	0.99	0.98	0.82	1.03	read-only-sum_range=1000
0.70	0.91	1.16	1.26	1.60	scan_range=100
0.76	0.99	1.15	1.33	1.48	scan.warm_range=100
0.99	0.98	0.98	0.91	1.03	delete_range=100
0.94	0.92	0.91	0.81	0.96	insert_range=100
1.08	0.95	0.91	0.83	0.96	read-write_range=100
1.00	0.98	0.89	0.81	1.08	read-write_range=10
0.97	0.95	0.93	0.89	0.98	update-index_range=100
0.92	0.92	0.94	0.86	0.94	update-inlist_range=100
0.93	0.92	0.93	0.85	0.93	update-nonindex_range=100
1.00	1.00	1.01	1.01	1.01	update-one_range=100
0.84	0.83	0.84	0.79	0.88	update-zipf_range=100
0.93	0.89	0.93	0.85	0.94	write-only_range=10000
