hot-points_range=100,0.96,0.99,1.01,1.00,3.15,3.15
point-query_range=100,0.94,0.83,0.97,0.99,0.99,1.02
points-covered-pk_range=100,0.98,1.02,1.01,1.01,1.00,1.00
points-covered-si_range=100,1.00,1.03,0.99,1.01,1.01,0.99
points-notcovered-pk_range=100,0.95,0.90,0.92,1.04,1.02,0.99
points-notcovered-si_range=100,1.10,1.11,1.08,1.15,1.07,1.13
random-points_range=1000,1.04,0.90,0.99,1.03,1.02,1.05
random-points_range=100,0.97,0.88,0.93,1.00,0.97,0.98
random-points_range=10,0.99,0.92,0.91,1.01,1.00,1.05
range-covered-pk_range=100,1.01,1.01,0.99,0.99,0.99,0.96
range-covered-si_range=100,1.02,1.01,0.99,1.00,1.00,0.97
range-notcovered-pk_range=100,1.03,0.99,0.99,1.05,1.02,1.04
range-notcovered-si_range=100,1.05,0.96,0.87,1.15,1.07,0.98
read-only-count_range=1000,1.05,1.02,1.04,1.04,1.04,1.05
read-only-distinct_range=1000,1.07,1.00,1.02,1.11,1.06,1.08
read-only-order_range=1000,1.04,1.02,1.09,1.17,1.17,1.15
read-only_range=10000,1.02,0.93,0.97,1.01,1.07,1.12
read-only_range=100,1.15,1.14,1.09,1.19,1.16,1.19
read-only_range=10,1.24,1.24,1.22,1.20,1.16,1.26
read-only-simple_range=1000,1.06,1.00,1.03,1.11,1.11,1.11
read-only-sum_range=1000,1.01,0.98,0.98,1.07,1.07,1.07
scan_range=100,0.99,0.91,0.93,0.95,0.79,1.07
scan.warm_range=100,1.01,1.00,0.98,0.97,0.90,1.20
delete_range=100,1.02,1.01,1.01,1.05,1.04,1.05
insert_range=100,1.08,1.15,1.12,1.14,1.12,0.95
read-write_range=100,1.00,1.07,1.02,0.73,0.83,0.83
read-write_range=10,1.03,1.04,1.02,0.77,0.80,0.86
update-index_range=100,1.06,1.10,1.06,1.09,1.10,1.13
update-inlist_range=100,1.01,1.00,1.00,1.03,1.04,1.11
update-nonindex_range=100,1.05,1.12,1.04,1.10,1.07,1.15
update-one_range=100,1.01,1.03,1.03,1.06,1.12,1.11
update-zipf_range=100,0.98,1.05,1.00,0.83,0.73,0.77
write-only_range=10000,1.03,1.13,1.04,0.86,0.89,0.91
