Relative to: x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3
1.00	0.97	1.00	hot-points_range=100
1.00	0.98	0.97	point-query_range=100
0.98	0.97	0.98	points-covered-pk_range=100
1.00	0.99	1.01	points-covered-si_range=100
0.98	0.97	0.98	points-notcovered-pk_range=100
0.98	0.97	0.98	points-notcovered-si_range=100
0.97	0.96	0.98	random-points_range=1000
0.98	0.98	0.98	random-points_range=100
0.99	0.98	0.99	random-points_range=10
0.99	0.98	0.97	range-covered-pk_range=100
0.99	0.99	0.98	range-covered-si_range=100
1.00	0.99	0.99	range-notcovered-pk_range=100
0.97	0.97	0.98	range-notcovered-si_range=100
1.01	1.00	1.02	read-only-count_range=1000
1.00	1.00	1.00	read-only-distinct_range=1000
0.99	0.99	0.99	read-only-order_range=1000
1.00	0.98	1.00	read-only_range=10000
1.00	0.99	0.99	read-only_range=100
1.00	0.99	0.98	read-only_range=10
1.00	1.00	0.99	read-only-simple_range=1000
1.00	0.99	0.97	read-only-sum_range=1000
0.99	1.01	0.99	scan_range=100
0.99	1.00	1.00	scan.warm_range=100
0.98	0.96	0.92	delete_range=100
0.98	0.97	0.84	insert_range=100
0.99	0.98	0.98	read-write_range=100
0.99	0.99	0.98	read-write_range=10
0.94	0.93	0.88	update-index_range=100
0.97	0.96	0.94	update-inlist_range=100
0.97	0.97	0.93	update-nonindex_range=100
0.97	0.98	0.92	update-one_range=100
0.93	0.93	0.88	update-zipf_range=100
0.96	0.96	0.97	write-only_range=10000
