col-1 : x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4
60045	58270	59720	60569	hot-points_range=100
754616	721374	731654	679340	point-query_range=100
57725	57423	57917	58855	points-covered-pk_range=100
59399	58946	60276	61245	points-covered-si_range=100
56147	55955	56398	57332	points-notcovered-pk_range=100
33859	33553	34132	34382	points-notcovered-si_range=100
5947	5927	5968	6093	random-points_range=1000
56376	56258	56723	57565	random-points_range=100
326039	319385	320783	316027	random-points_range=10
375629	370077	373725	365128	range-covered-pk_range=100
403006	400154	407658	392739	range-covered-si_range=100
332802	332076	337278	329024	range-notcovered-pk_range=100
59656	59351	60051	60969	range-notcovered-si_range=100
130115	126044	128466	126359	read-only-count_range=1000
287906	284707	290728	283770	read-only-distinct_range=1000
380863	375049	385803	373992	read-only-order_range=1000
15434	15362	15459	15375	read-only_range=10000
531537	523484	534591	513618	read-only_range=100
650866	637825	644898	618402	read-only_range=10
455304	451746	465901	451536	read-only-simple_range=1000
566324	553628	562732	540470	read-only-sum_range=1000
4343	4280	4315	4277	scan_range=100
4439	4302	4287	4277	scan.warm_range=100
241764	231944	236406	208015	delete_range=100
119588	115079	117849	100498	insert_range=100
367471	358663	366015	353081	read-write_range=100
402452	391896	399903	384800	read-write_range=10
79315	78360	79553	76201	update-index_range=100
52379	49648	51233	47932	update-inlist_range=100
108882	103467	104534	98342	update-nonindex_range=100
66282	64468	65226	61300	update-one_range=100
108523	102699	104098	98027	update-zipf_range=100
266770	259611	264632	248697	write-only_range=10000
