Relative to: x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3
0.97	0.99	1.01	hot-points_range=100
0.96	0.97	0.90	point-query_range=100
0.99	1.00	1.02	points-covered-pk_range=100
0.99	1.01	1.03	points-covered-si_range=100
1.00	1.00	1.02	points-notcovered-pk_range=100
0.99	1.01	1.02	points-notcovered-si_range=100
1.00	1.00	1.02	random-points_range=1000
1.00	1.01	1.02	random-points_range=100
0.98	0.98	0.97	random-points_range=10
0.99	0.99	0.97	range-covered-pk_range=100
0.99	1.01	0.97	range-covered-si_range=100
1.00	1.01	0.99	range-notcovered-pk_range=100
0.99	1.01	1.02	range-notcovered-si_range=100
0.97	0.99	0.97	read-only-count_range=1000
0.99	1.01	0.99	read-only-distinct_range=1000
0.98	1.01	0.98	read-only-order_range=1000
1.00	1.00	1.00	read-only_range=10000
0.98	1.01	0.97	read-only_range=100
0.98	0.99	0.95	read-only_range=10
0.99	1.02	0.99	read-only-simple_range=1000
0.98	0.99	0.95	read-only-sum_range=1000
0.99	0.99	0.98	scan_range=100
0.97	0.97	0.96	scan.warm_range=100
0.96	0.98	0.86	delete_range=100
0.96	0.99	0.84	insert_range=100
0.98	1.00	0.96	read-write_range=100
0.97	0.99	0.96	read-write_range=10
0.99	1.00	0.96	update-index_range=100
0.95	0.98	0.92	update-inlist_range=100
0.95	0.96	0.90	update-nonindex_range=100
0.97	0.98	0.92	update-one_range=100
0.95	0.96	0.90	update-zipf_range=100
0.97	0.99	0.93	write-only_range=10000
