hot-points_range=100,0.99,0.97,0.95,0.99,1.00,1.01,1.01
point-query_range=100,0.99,0.96,0.94,0.97,0.96,0.94,0.94
points-covered-pk_range=100,1.00,0.99,1.00,1.00,1.01,1.01,1.02
points-covered-si_range=100,1.00,0.99,1.01,1.01,1.02,1.03,1.02
points-notcovered-pk_range=100,1.00,1.00,1.00,1.00,1.01,1.02,1.03
points-notcovered-si_range=100,0.99,0.99,1.00,1.01,1.01,1.02,1.01
random-points_range=1000,1.00,1.00,1.00,1.00,1.01,1.02,1.03
random-points_range=100,1.00,1.00,1.00,1.01,1.01,1.02,1.03
random-points_range=10,1.00,0.98,0.98,0.98,0.98,0.97,0.98
range-covered-pk_range=100,1.03,0.99,0.98,0.99,0.97,0.97,0.98
range-covered-si_range=100,1.03,0.99,0.99,1.01,0.99,0.98,0.98
range-notcovered-pk_range=100,1.01,1.00,0.99,1.01,1.01,0.99,1.00
range-notcovered-si_range=100,0.99,0.99,1.00,1.01,1.01,1.01,1.02
read-only-count_range=1000,1.00,0.97,0.96,0.99,0.98,0.97,0.97
read-only-distinct_range=1000,1.00,0.99,0.99,1.01,0.99,0.99,0.99
read-only-order_range=1000,1.00,0.98,0.98,1.01,0.99,0.99,0.99
read-only_range=10000,1.00,1.00,0.98,1.00,0.99,0.99,1.00
read-only_range=100,1.01,0.98,0.98,1.01,0.98,0.98,0.98
read-only_range=10,1.01,0.98,0.98,0.99,0.96,0.96,0.96
read-only-simple_range=1000,1.02,0.99,0.99,1.02,1.00,1.00,1.00
read-only-sum_range=1000,1.00,0.98,0.96,0.99,0.96,0.97,0.97
scan_range=100,1.01,0.99,0.99,0.99,0.98,1.00,0.99
scan.warm_range=100,0.98,0.97,0.97,0.97,0.96,0.98,0.97
delete_range=100,0.91,0.96,0.88,0.98,0.87,0.95,0.87
insert_range=100,0.83,0.96,0.83,0.99,0.83,0.98,0.84
read-write_range=100,0.99,0.98,0.97,1.00,0.96,0.97,0.97
read-write_range=10,0.99,0.97,0.97,0.99,0.96,0.97,0.97
update-index_range=100,0.97,0.99,0.97,1.00,0.96,0.99,0.97
update-inlist_range=100,0.95,0.95,0.92,0.98,0.94,0.94,0.95
update-nonindex_range=100,0.95,0.95,0.91,0.96,0.90,0.95,0.91
update-one_range=100,0.94,0.97,0.92,0.98,0.92,0.97,0.93
update-zipf_range=100,0.95,0.95,0.91,0.96,0.90,0.95,0.90
write-only_range=10000,0.96,0.97,0.94,0.99,0.93,0.97,0.93
