Relative to: x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my8044_rel_o2nofp.z12a_gtid_c32r128.pk1
col-2 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8407_rel_o2nofp.z12a_gtid_c32r128.pk1
col-4 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-5 : x.my9400_rel_o2nofp.z12a_gtid_c32r128.pk1
col-6 : x.my9500_rel_o2nofp.z13a_c32r128.pk1
col-7 : x.my9500_rel_o2nofp.z13a_gtid_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
0.99	0.97	0.95	0.99	1.00	1.01	1.01	hot-points_range=100
0.99	0.96	0.94	0.97	0.96	0.94	0.94	point-query_range=100
1.00	0.99	1.00	1.00	1.01	1.01	1.02	points-covered-pk_range=100
1.00	0.99	1.01	1.01	1.02	1.03	1.02	points-covered-si_range=100
1.00	1.00	1.00	1.00	1.01	1.02	1.03	points-notcovered-pk_range=100
0.99	0.99	1.00	1.01	1.01	1.02	1.01	points-notcovered-si_range=100
1.00	1.00	1.00	1.00	1.01	1.02	1.03	random-points_range=1000
1.00	1.00	1.00	1.01	1.01	1.02	1.03	random-points_range=100
1.00	0.98	0.98	0.98	0.98	0.97	0.98	random-points_range=10
1.03	0.99	0.98	0.99	0.97	0.97	0.98	range-covered-pk_range=100
1.03	0.99	0.99	1.01	0.99	0.98	0.98	range-covered-si_range=100
1.01	1.00	0.99	1.01	1.01	0.99	1.00	range-notcovered-pk_range=100
0.99	0.99	1.00	1.01	1.01	1.01	1.02	range-notcovered-si_range=100
1.00	0.97	0.96	0.99	0.98	0.97	0.97	read-only-count_range=1000
1.00	0.99	0.99	1.01	0.99	0.99	0.99	read-only-distinct_range=1000
1.00	0.98	0.98	1.01	0.99	0.99	0.99	read-only-order_range=1000
1.00	1.00	0.98	1.00	0.99	0.99	1.00	read-only_range=10000
1.01	0.98	0.98	1.01	0.98	0.98	0.98	read-only_range=100
1.01	0.98	0.98	0.99	0.96	0.96	0.96	read-only_range=10
1.02	0.99	0.99	1.02	1.00	1.00	1.00	read-only-simple_range=1000
1.00	0.98	0.96	0.99	0.96	0.97	0.97	read-only-sum_range=1000
1.01	0.99	0.99	0.99	0.98	1.00	0.99	scan_range=100
0.98	0.97	0.97	0.97	0.96	0.98	0.97	scan.warm_range=100
0.91	0.96	0.88	0.98	0.87	0.95	0.87	delete_range=100
0.83	0.96	0.83	0.99	0.83	0.98	0.84	insert_range=100
0.99	0.98	0.97	1.00	0.96	0.97	0.97	read-write_range=100
0.99	0.97	0.97	0.99	0.96	0.97	0.97	read-write_range=10
0.97	0.99	0.97	1.00	0.96	0.99	0.97	update-index_range=100
0.95	0.95	0.92	0.98	0.94	0.94	0.95	update-inlist_range=100
0.95	0.95	0.91	0.96	0.90	0.95	0.91	update-nonindex_range=100
0.94	0.97	0.92	0.98	0.92	0.97	0.93	update-one_range=100
0.95	0.95	0.91	0.96	0.90	0.95	0.90	update-zipf_range=100
0.96	0.97	0.94	0.99	0.93	0.97	0.93	write-only_range=10000
