Relative to: x.my8044_rel_o2nofp.z12a_c24r64.pk1
col-1 : x.my8044_rel_o2nofp.z12a_gtid_c24r64.pk1
col-2 : x.my8407_rel_o2nofp.z12a_c24r64.pk1
col-3 : x.my8407_rel_o2nofp.z12a_gtid_c24r64.pk1
col-4 : x.my9400_rel_o2nofp.z12a_c24r64.pk1
col-5 : x.my9400_rel_o2nofp.z12a_gtid_c24r64.pk1
col-6 : x.my9500_rel_o2nofp.z13a_c24r64.pk1
col-7 : x.my9500_rel_o2nofp.z13a_gtid_c24r64.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
1.01	1.00	1.00	1.01	1.02	1.04	1.03	hot-points_range=100
0.99	0.99	1.00	0.97	0.98	0.98	0.98	point-query_range=100
1.00	0.99	0.99	1.00	1.01	1.00	1.00	points-covered-pk_range=100
1.00	1.00	1.00	1.02	1.02	1.01	1.02	points-covered-si_range=100
1.01	0.99	0.99	1.01	1.01	1.00	1.00	points-notcovered-pk_range=100
1.00	1.00	1.00	1.01	1.01	1.00	1.01	points-notcovered-si_range=100
1.02	0.99	1.02	1.04	1.05	1.03	1.04	random-points_range=1000
1.01	0.99	0.99	1.00	1.01	1.00	1.00	random-points_range=100
1.01	0.99	0.99	0.98	0.99	0.98	0.98	random-points_range=10
1.00	0.98	0.98	0.97	0.97	0.98	0.99	range-covered-pk_range=100
1.00	0.98	0.99	0.97	0.98	0.98	0.99	range-covered-si_range=100
0.98	0.99	0.99	0.99	0.99	1.00	1.00	range-notcovered-pk_range=100
1.00	0.99	0.99	0.99	0.99	0.99	1.00	range-notcovered-si_range=100
1.00	0.97	0.97	0.98	0.98	1.02	1.02	read-only-count_range=1000
1.00	0.99	0.99	0.99	0.99	1.00	1.00	read-only-distinct_range=1000
1.00	0.99	1.00	0.99	1.00	1.01	1.01	read-only-order_range=1000
0.97	0.95	1.19	1.20	1.21	1.21	1.23	read-only_range=10000
1.00	0.98	0.99	0.98	0.98	0.99	0.99	read-only_range=100
1.00	0.99	0.99	0.98	0.98	0.98	0.98	read-only_range=10
0.98	0.98	0.99	1.00	1.00	1.01	1.00	read-only-simple_range=1000
1.00	0.98	0.98	0.97	0.97	0.99	0.99	read-only-sum_range=1000
1.00	1.00	0.99	1.00	0.99	1.04	1.03	scan_range=100
1.01	0.99	0.99	0.99	1.00	1.03	1.03	scan.warm_range=100
0.95	0.94	0.89	0.89	0.84	0.88	0.84	delete_range=100
0.84	0.94	0.80	0.85	0.73	0.85	0.74	insert_range=100
1.00	0.98	0.99	1.00	0.99	0.99	0.99	read-write_range=100
1.00	0.98	0.99	0.97	0.98	0.99	0.98	read-write_range=10
0.96	0.99	0.93	0.88	0.86	0.88	0.86	update-index_range=100
0.98	0.95	0.92	0.71	0.72	0.70	0.71	update-inlist_range=100
0.98	0.98	0.93	0.87	0.81	0.86	0.81	update-nonindex_range=100
0.94	0.97	0.91	0.90	0.83	0.89	0.83	update-one_range=100
0.96	0.97	0.92	0.86	0.81	0.85	0.81	update-zipf_range=100
1.00	0.98	0.97	0.95	0.95	0.94	0.94	write-only_range=10000
