col-1 : x.ma100244_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma100339_rel_withdbg.z12a_c32r128.pk1
col-3 : x.ma100434_rel_withdbg.z12a_c32r128.pk1
col-4 : x.ma100529_rel_withdbg.z12a_c32r128.pk1
col-5 : x.ma100624_rel_withdbg.z12a_c32r128.pk1
col-6 : x.ma101115_rel_withdbg.z12a_c32r128.pk1
col-7 : x.ma110409_rel_withdbg.z12b_c32r128.pk1
col-8 : x.ma110805_rel_withdbg.z12b_c32r128.pk1
col-9 : x.ma120102_rel_withdbg.z12b_c32r128.pk1
col-10 : x.ma120201_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10
68391	74210	72698	46422	67509	69149	71460	77498	74680	75540	hot-points_range=100
257466	258340	252139	253678	240392	235930	234405	234313	233644	233793	point-query_range=100
3937	4021	3993	3970	3645	3310	3341	3340	3346	3369	points-covered-pk_range=100
57719	60253	59144	47575	59692	63014	52001	55879	56035	56175	points-covered-si_range=100
3929	4020	3987	3967	3643	3311	3333	3333	3341	3358	points-notcovered-pk_range=100
3449	3538	3508	3361	2952	2565	2566	2561	2564	2601	points-notcovered-si_range=100
398	407	404	401	368	334	336	335	336	338	random-points_range=1000
3932	4020	3989	3969	3646	3315	3335	3327	3334	3359	random-points_range=100
36857	37546	37075	37009	34157	31938	31796	31993	32025	32155	random-points_range=10
120957	122002	118863	118458	112756	110696	110316	110445	110350	110349	range-covered-pk_range=100
449371	439568	413759	383236	400443	439521	432218	424210	418629	416153	range-covered-si_range=100
117938	118936	115962	115750	110101	108226	106849	107045	106993	106718	range-notcovered-pk_range=100
3891	3980	3953	3945	3645	3319	3348	3339	3341	3365	range-notcovered-si_range=100
24430	24771	24508	24207	22654	21405	21221	21392	21352	21511	read-only-count_range=1000
129940	130485	127265	128092	123102	121685	120196	120226	120046	119865	read-only-distinct_range=1000
144006	145022	140972	141842	135488	132333	130845	130925	130472	130538	read-only-order_range=1000
8830	9094	8924	8236	7484	7072	7073	7060	7029	7069	read-only_range=10000
207554	207730	202477	203432	193754	190562	189343	189092	188700	188746	read-only_range=100
261602	260649	253626	255070	243952	240440	239368	239068	238280	237991	read-only_range=10
154123	154914	152182	152760	143876	139544	137812	138206	137681	138211	read-only-simple_range=1000
159254	160097	157478	157585	148467	143771	143129	143827	143045	143855	read-only-sum_range=1000
1708	1898	1939	1585	1108	1093	1332	1310	1322	1317	scan_range=100
1711	1902	1940	1776	1091	1077	1289	1270	1277	1277	scan.warm_range=100
50491	54103	52545	30164	65454	61002	58280	59652	59559	61827	delete_range=100
108014	115260	115185	96442	105827	144059	145054	145793	146587	146479	insert_range=100
130424	98676	97268	3400	124980	122881	121655	121645	121877	124974	read-write_range=100
138709	97977	97903	574	128022	135064	136728	135218	135757	139549	read-write_range=10
23332	23014	23169	11250	20385	21642	26681	26441	26768	28281	update-index_range=100
5704	5658	5609	3780	6427	5721	5723	5812	5800	6027	update-inlist_range=100
7391	54454	54643	33599	67504	66031	60567	62712	61614	74362	update-nonindex_range=100
61768	74863	73819	70027	81119	83233	83108	81947	82322	82661	update-one_range=100
86141	100954	100080	72629	98969	119231	117555	117633	118001	120323	update-zipf_range=100
64001	35268	35231	24875	49845	63222	94057	101326	101263	100272	write-only_range=10000
