col-1 : x.pg1222_o2nofp.x10a_c32r128.pk1
col-2 : x.pg1323_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1420_o2nofp.x10a_c32r128.pk1
col-4 : x.pg1515_o2nofp.x10a_c32r128.pk1
col-5 : x.pg1611_o2nofp.x10a_c32r128.pk1
col-6 : x.pg177_o2nofp.x10a_c32r128.pk1
col-7 : x.pg181_o2nofp.x10b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
112473	112082	110358	110686	109964	350714	353058	hot-points_range=100
134439	123053	138870	140498	147877	134794	143440	point-query_range=100
61754	62542	61072	61230	62215	61819	62994	points-covered-pk_range=100
59380	61125	59241	59784	60128	59283	60556	points-covered-si_range=100
1903	1879	1899	1603	1867	1899	1817	points-notcovered-pk_range=100
2003	2138	2262	2163	2339	2215	2295	points-notcovered-si_range=100
185	182	200	190	191	190	194	random-points_range=1000
1777	1803	1934	1831	1909	1862	1917	random-points_range=100
18043	16356	18461	16759	16550	18204	17558	random-points_range=10
474548	449026	478826	480960	475136	468543	461150	range-covered-pk_range=100
320562	316533	331720	329181	328531	320763	319470	range-covered-si_range=100
29526	30359	31407	30394	31600	30701	32870	range-notcovered-pk_range=100
2828	2806	2771	2542	2832	2610	2794	range-notcovered-si_range=100
7084	7116	7415	7078	7299	7240	7536	read-only-count_range=1000
48746	50257	50401	50574	54242	52668	54538	read-only-distinct_range=1000
46275	46915	49094	47176	53216	52241	54199	read-only-order_range=1000
3326	3394	3613	3635	3558	3733	3719	read-only_range=10000
66543	69638	79578	73700	80040	78213	84436	read-only_range=100
131622	132864	157216	147541	157284	139226	157021	read-only_range=10
53859	51990	57972	53830	59150	58051	61796	read-only-simple_range=1000
55945	57152	58851	55659	58829	58058	62910	read-only-sum_range=1000
911	951	892	880	885	741	1006	scan_range=100
827	823	837	824	790	732	1004	scan.warm_range=100
49536	50301	51901	50403	51982	52538	53848	delete_range=100
30889	31733	34286	34076	34491	33746	27795	insert_range=100
30090	30048	32854	31202	21865	26090	25854	read-write_range=100
37378	37334	37265	36758	27762	29161	31059	read-write_range=10
16022	16744	17200	16943	17639	17747	17628	update-index_range=100
2057	2012	2051	1983	2035	2045	2065	update-inlist_range=100
21536	22284	22688	22019	23179	22803	23024	update-nonindex_range=100
154207	155975	162700	162680	164746	174877	173057	update-one_range=100
41888	41312	41368	40859	34246	29635	29930	update-zipf_range=100
29194	29857	30605	29858	26111	25397	25705	write-only_range=10000
