col-1 : x.my8407_rel_o2nofp.z12a_c24r64.pk1
col-2 : x.my9400_rel_o2nofp.z12a_c24r64.pk1
col-3 : x.my9500_rel_o2nofp.z12a_c24r64.pk1

col-1	col-2	col-3
22093	22401	22524	hot-points_range=100
252139	246813	247673	point-query_range=100
17399	17605	17689	points-covered-pk_range=100
19011	19303	19161	points-covered-si_range=100
16811	17076	16961	points-notcovered-pk_range=100
10060	10205	10087	points-notcovered-si_range=100
1721	1804	1791	random-points_range=1000
16898	17135	17037	random-points_range=100
106423	105590	105240	random-points_range=10
118970	117596	116740	range-covered-pk_range=100
128305	127052	125705	range-covered-si_range=100
99361	99036	96484	range-notcovered-pk_range=100
19197	19374	19303	range-notcovered-si_range=100
31889	32171	30189	read-only-count_range=1000
85609	86091	85256	read-only-distinct_range=1000
110837	111125	109703	read-only-order_range=1000
4116	5190	5155	read-only_range=10000
165737	164722	164195	read-only_range=100
214080	212307	211162	read-only_range=10
136578	138690	135607	read-only-simple_range=1000
168691	167232	170314	read-only-sum_range=1000
2513	2520	2599	scan_range=100
2501	2488	2579	scan.warm_range=100
84517	79980	74622	delete_range=100
71427	64871	55772	insert_range=100
139359	141045	138558	read-write_range=100
164329	162373	162303	read-write_range=10
40208	35698	34641	update-index_range=100
29761	22329	21972	update-inlist_range=100
66613	59340	55700	update-nonindex_range=100
54659	50780	46703	update-one_range=100
65154	57979	54531	update-zipf_range=100
120855	117582	116146	write-only_range=10000
