hot-points_range=100,1.00,1.01,1.01
point-query_range=100,0.99,0.97,0.97
points-covered-pk_range=100,0.99,1.00,1.00
points-covered-si_range=100,1.00,1.02,1.01
points-notcovered-pk_range=100,0.99,1.01,1.00
points-notcovered-si_range=100,1.00,1.01,1.00
random-points_range=1000,0.99,1.04,1.03
random-points_range=100,0.99,1.00,1.00
random-points_range=10,0.99,0.98,0.98
range-covered-pk_range=100,0.98,0.97,0.96
range-covered-si_range=100,0.98,0.97,0.96
range-notcovered-pk_range=100,0.99,0.99,0.96
range-notcovered-si_range=100,0.99,0.99,0.99
read-only-count_range=1000,0.97,0.98,0.92
read-only-distinct_range=1000,0.99,0.99,0.98
read-only-order_range=1000,0.99,0.99,0.98
read-only_range=10000,0.95,1.20,1.19
read-only_range=100,0.98,0.98,0.97
read-only_range=10,0.99,0.98,0.97
read-only-simple_range=1000,0.98,1.00,0.98
read-only-sum_range=1000,0.98,0.97,0.99
scan_range=100,1.00,1.00,1.03
scan.warm_range=100,0.99,0.99,1.02
delete_range=100,0.94,0.89,0.83
insert_range=100,0.94,0.85,0.73
read-write_range=100,0.98,1.00,0.98
read-write_range=10,0.98,0.97,0.97
update-index_range=100,0.99,0.88,0.86
update-inlist_range=100,0.95,0.71,0.70
update-nonindex_range=100,0.98,0.87,0.82
update-one_range=100,0.97,0.90,0.83
update-zipf_range=100,0.97,0.86,0.81
write-only_range=10000,0.98,0.95,0.94
