Relative to: x.my8407_rel_o2nofp.z12a_c24r64.pk1
col-1 : x.my9400_rel_o2nofp.z12a_c24r64.pk1
col-2 : x.my9500_rel_o2nofp.z12a_c24r64.pk1

col-1	col-2
1.01	1.02	hot-points_range=100
0.98	0.98	point-query_range=100
1.01	1.02	points-covered-pk_range=100
1.02	1.01	points-covered-si_range=100
1.02	1.01	points-notcovered-pk_range=100
1.01	1.00	points-notcovered-si_range=100
1.05	1.04	random-points_range=1000
1.01	1.01	random-points_range=100
0.99	0.99	random-points_range=10
0.99	0.98	range-covered-pk_range=100
0.99	0.98	range-covered-si_range=100
1.00	0.97	range-notcovered-pk_range=100
1.01	1.01	range-notcovered-si_range=100
1.01	0.95	read-only-count_range=1000
1.01	1.00	read-only-distinct_range=1000
1.00	0.99	read-only-order_range=1000
1.26	1.25	read-only_range=10000
0.99	0.99	read-only_range=100
0.99	0.99	read-only_range=10
1.02	0.99	read-only-simple_range=1000
0.99	1.01	read-only-sum_range=1000
1.00	1.03	scan_range=100
0.99	1.03	scan.warm_range=100
0.95	0.88	delete_range=100
0.91	0.78	insert_range=100
1.01	0.99	read-write_range=100
0.99	0.99	read-write_range=10
0.89	0.86	update-index_range=100
0.75	0.74	update-inlist_range=100
0.89	0.84	update-nonindex_range=100
0.93	0.85	update-one_range=100
0.89	0.84	update-zipf_range=100
0.97	0.96	write-only_range=10000
