sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000253	0	0	0.97	49668	x.pg9023_def.x9a2_bee.pk1
0.000263	0	0	0.958	48859	x.pg9124_def.x9a2_bee.pk1
0.000272	0	0	0.983	48000	x.pg9224_def.x9a2_bee.pk1
0.000283	0	0	1.185	46656	x.pg9325_def.x9a2_bee.pk1
0.000286	0	0	1.177	46296	x.pg9426_def.x9a2_bee.pk1
0.000252	0	0	0.944	50590	x.pg9525_def.x9a2_bee.pk1
0.000251	0	0	0.938	51457	x.pg9624_def.x9a2_bee.pk1
0.000245	0	0	0.938	52447	x.pg1023_def.x9a2_bee.pk1
0.000227	0	0	0.934	58939	x.pg1122_def.x9a2_bee.pk1
0.000225	0	0	0.931	58365	x.pg1217_def.x9a2_bee.pk1
0.000207	0	0	0.93	62893	x.pg1313_def.x9a2_bee.pk1
0.000206	0	0	0.938	62630	x.pg1411_def.x9a2_bee.pk1
0.000192	0	0	0.939	67264	x.pg156_def.x9a2_bee.pk1
0.000190	0	0	0.925	68181	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.04		1	1	0.99	0.98	x.pg9124_def.x9a2_bee.pk1
1.08		1	1	1.01	0.97	x.pg9224_def.x9a2_bee.pk1
1.12		1	1	1.22	0.94	x.pg9325_def.x9a2_bee.pk1
1.13		1	1	1.21	0.93	x.pg9426_def.x9a2_bee.pk1
1.00		1	1	0.97	1.02	x.pg9525_def.x9a2_bee.pk1
0.99		1	1	0.97	1.04	x.pg9624_def.x9a2_bee.pk1
0.97		1	1	0.97	1.06	x.pg1023_def.x9a2_bee.pk1
0.90		1	1	0.96	1.19	x.pg1122_def.x9a2_bee.pk1
0.89		1	1	0.96	1.18	x.pg1217_def.x9a2_bee.pk1
0.82		1	1	0.96	1.27	x.pg1313_def.x9a2_bee.pk1
0.81		1	1	0.97	1.26	x.pg1411_def.x9a2_bee.pk1
0.76		1	1	0.97	1.35	x.pg156_def.x9a2_bee.pk1
0.75		1	1	0.95	1.37	x.pg162_def.x9a2_bee.pk1

sb.met.point-query.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000594	0	0	0	21477	x.pg9023_def.x9a2_bee.pk1
0.000606	0	0	0	20916	x.pg9124_def.x9a2_bee.pk1
0.000610	0	0	0	21847	x.pg9224_def.x9a2_bee.pk1
0.000604	0	0	0	21146	x.pg9325_def.x9a2_bee.pk1
0.000594	0	0	0	21304	x.pg9426_def.x9a2_bee.pk1
0.000576	0	0	0	22865	x.pg9525_def.x9a2_bee.pk1
0.000596	0	0	0	21797	x.pg9624_def.x9a2_bee.pk1
0.000604	0	0	0	21644	x.pg1023_def.x9a2_bee.pk1
0.000608	0	0	0	21757	x.pg1122_def.x9a2_bee.pk1
0.000590	0	0	0	22325	x.pg1217_def.x9a2_bee.pk1
0.000607	0	0	0	21431	x.pg1313_def.x9a2_bee.pk1
0.000595	0	0	0	21674	x.pg1411_def.x9a2_bee.pk1
0.000579	0	0	0	22271	x.pg156_def.x9a2_bee.pk1
0.000583	0	0	0	22056	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.02		1	1	1	0.97	x.pg9124_def.x9a2_bee.pk1
1.03		1	1	1	1.02	x.pg9224_def.x9a2_bee.pk1
1.02		1	1	1	0.98	x.pg9325_def.x9a2_bee.pk1
1.00		1	1	1	0.99	x.pg9426_def.x9a2_bee.pk1
0.97		1	1	1	1.06	x.pg9525_def.x9a2_bee.pk1
1.00		1	1	1	1.01	x.pg9624_def.x9a2_bee.pk1
1.02		1	1	1	1.01	x.pg1023_def.x9a2_bee.pk1
1.02		1	1	1	1.01	x.pg1122_def.x9a2_bee.pk1
0.99		1	1	1	1.04	x.pg1217_def.x9a2_bee.pk1
1.02		1	1	1	1.00	x.pg1313_def.x9a2_bee.pk1
1.00		1	1	1	1.01	x.pg1411_def.x9a2_bee.pk1
0.97		1	1	1	1.04	x.pg156_def.x9a2_bee.pk1
0.98		1	1	1	1.03	x.pg162_def.x9a2_bee.pk1

sb.met.random-points.pre.range10.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001429	0	0	0	8696	x.pg9023_def.x9a2_bee.pk1
0.001411	0	0	0	8756	x.pg9124_def.x9a2_bee.pk1
0.001383	0	0	0.001	9245	x.pg9224_def.x9a2_bee.pk1
0.001338	0	0	0.001	9245	x.pg9325_def.x9a2_bee.pk1
0.001326	0	0	0	9357	x.pg9426_def.x9a2_bee.pk1
0.001374	0	0	0.001	9190	x.pg9525_def.x9a2_bee.pk1
0.001390	0	0	0.001	8958	x.pg9624_def.x9a2_bee.pk1
0.001424	0	0	0.001	8804	x.pg1023_def.x9a2_bee.pk1
0.001347	0	0	0	9407	x.pg1122_def.x9a2_bee.pk1
0.001356	0	0	0	9219	x.pg1217_def.x9a2_bee.pk1
0.001342	0	0	0.001	9348	x.pg1313_def.x9a2_bee.pk1
0.001322	0	0	0	9451	x.pg1411_def.x9a2_bee.pk1
0.001326	0	0	0	9425	x.pg156_def.x9a2_bee.pk1
0.001330	0	0	0	9359	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.99		1	1	1	1.01	x.pg9124_def.x9a2_bee.pk1
0.97		1	1	inf	1.06	x.pg9224_def.x9a2_bee.pk1
0.94		1	1	inf	1.06	x.pg9325_def.x9a2_bee.pk1
0.93		1	1	1	1.08	x.pg9426_def.x9a2_bee.pk1
0.96		1	1	inf	1.06	x.pg9525_def.x9a2_bee.pk1
0.97		1	1	inf	1.03	x.pg9624_def.x9a2_bee.pk1
