col-1 : x.pg1410_def.x9a2_bee.pk1
col-2 : x.pg1411_def.x9a2_bee.pk1
col-3 : x.pg155_def.x9a2_bee.pk1
col-4 : x.pg156_def.x9a2_bee.pk1
col-5 : x.pg161_def.x9a2_bee.pk1
col-6 : x.pg162_def.x9a2_bee.pk1

col-1	col-2	col-3	col-4	col-5	col-6
2663	2667	2683	2631	2671	2635	hot-points_range=100
22869	21674	22371	22271	22134	22056	point-query.pre_range=100
21539	22443	22146	22118	22147	23153	point-query_range=100
1652	1646	1654	1650	1653	1654	points-covered-pk.pre_range=100
1639	1628	1654	1630	1643	1644	points-covered-pk_range=100
1652	1650	1646	1651	1652	1646	points-covered-si.pre_range=100
1650	1646	1656	1649	1654	1653	points-covered-si_range=100
1515	1504	1515	1509	1520	1506	points-notcovered-pk.pre_range=100
1489	1473	1494	1475	1498	1482	points-notcovered-pk_range=100
1478	1468	1479	1475	1481	1462	points-notcovered-si.pre_range=100
1468	1458	1477	1465	1473	1463	points-notcovered-si_range=100
166	165	167	165	166	166	random-points.pre_range=1000
1538	1528	1543	1530	1545	1530	random-points.pre_range=100
9398	9451	9434	9425	9487	9359	random-points.pre_range=10
164	162	165	162	163	163	random-points_range=1000
1512	1515	1519	1499	1521	1510	random-points_range=100
9248	9252	9246	9277	9400	9266	random-points_range=10
8520	8738	8467	8512	8615	8474	range-covered-pk.pre_range=100
7916	7972	7735	7730	7758	7702	range-covered-pk_range=100
7375	7421	7182	7108	7116	7035	range-covered-si.pre_range=100
7336	7377	7121	7077	7071	6996	range-covered-si_range=100
6030	6118	6138	6090	6042	5995	range-notcovered-pk.pre_range=100
4977	5015	5013	4970	4995	4973	range-notcovered-pk_range=100
3733	3779	3776	3725	3755	3714	range-notcovered-si.pre_range=100
3659	3693	3674	3642	3672	3659	range-notcovered-si_range=100
225	231	234	238	231	240	read-only.pre_range=10000
12028	12163	12059	12036	11985	12019	read-only.pre_range=100
16848	16579	16661	16693	16588	16827	read-only.pre_range=10
190	193	194	196	194	201	read-only_range=10000
10851	10906	10826	10775	10804	10876	read-only_range=100
16530	16218	16427	16348	16460	16568	read-only_range=10
1.594	1.596	1.597	1.592	1.562	1.593	scan_range=100
20162	20479	20400	20462	20701	20612	delete_range=100
11158	11270	11192	10838	11109	11100	insert_range=100
10967	11079	10940	10900	10988	11010	read-write_range=100
15794	16010	15960	15887	15915	15959	read-write_range=10
13056	13320	13378	13240	13361	13556	update-index_range=100
4814	4859	4868	4824	4833	4843	update-inlist_range=100
15154	15366	15452	15097	15390	15472	update-nonindex_range=100
16677	16895	16890	16443	16817	16986	update-one_range=100
15065	15294	15376	15147	15232	15353	update-zipf_range=100
19357	19659	19485	19589	19529	19355	write-only_range=10000
