col-1 : x.pg9023_def.x9a2_bee.pk1
col-2 : x.pg9124_def.x9a2_bee.pk1
col-3 : x.pg9224_def.x9a2_bee.pk1
col-4 : x.pg9325_def.x9a2_bee.pk1
col-5 : x.pg9426_def.x9a2_bee.pk1
col-6 : x.pg9525_def.x9a2_bee.pk1
col-7 : x.pg9624_def.x9a2_bee.pk1
col-8 : x.pg1023_def.x9a2_bee.pk1
col-9 : x.pg1122_def.x9a2_bee.pk1
col-10 : x.pg1217_def.x9a2_bee.pk1
col-11 : x.pg1313_def.x9a2_bee.pk1
col-12 : x.pg1411_def.x9a2_bee.pk1
col-13 : x.pg156_def.x9a2_bee.pk1
col-14 : x.pg162_def.x9a2_bee.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11	col-12	col-13	col-14
2859	2814	2672	2736	2682	2607	2483	2514	2684	2600	2658	2667	2631	2635	hot-points_range=100
21477	20916	21847	21146	21304	22865	21797	21644	21757	22325	21431	21674	22271	22056	point-query.pre_range=100
21381	20967	22184	21447	21334	22746	21707	21628	22397	21840	22038	22443	22118	23153	point-query_range=100
1329	1331	1592	1598	1638	1627	1605	1586	1665	1636	1640	1646	1650	1654	points-covered-pk.pre_range=100
1300	1291	1376	1562	1596	1567	1547	1519	1611	1579	1583	1628	1630	1644	points-covered-pk_range=100
1265	1266	1562	1570	1588	1544	1520	1508	1599	1547	1624	1650	1651	1646	points-covered-si.pre_range=100
1250	1253	1312	1546	1561	1511	1499	1492	1563	1511	1613	1646	1649	1653	points-covered-si_range=100
1268	1273	1455	1468	1511	1473	1450	1440	1516	1487	1479	1504	1509	1506	points-notcovered-pk.pre_range=100
1244	1249	1415	1429	1461	1426	1403	1377	1461	1442	1441	1473	1475	1482	points-notcovered-pk_range=100
1223	1226	1380	1391	1423	1382	1366	1358	1435	1402	1449	1468	1475	1462	points-notcovered-si.pre_range=100
1205	1207	1358	1374	1391	1348	1331	1322	1391	1365	1440	1458	1465	1463	points-notcovered-si_range=100
147	149	164	167	170	164	160	159	168	165	164	165	165	166	random-points.pre_range=1000
1331	1325	1480	1494	1537	1506	1467	1462	1550	1517	1505	1528	1530	1530	random-points.pre_range=100
8696	8756	9245	9245	9357	9190	8958	8804	9407	9219	9348	9451	9425	9359	random-points.pre_range=10
145	145	158	162	165	158	156	154	162	159	159	162	162	163	random-points_range=1000
1282	1274	1442	1449	1479	1451	1432	1420	1485	1459	1460	1515	1499	1510	random-points_range=100
8646	8626	9096	9004	9208	8939	8699	8606	9189	8958	9101	9252	9277	9266	random-points_range=10
10158	10129	7944	8038	8100	7702	7645	7633	8545	8404	8696	8738	8512	8474	range-covered-pk.pre_range=100
8115	7882	5888	7597	7685	6988	6780	6787	7709	7649	7752	7972	7730	7702	range-covered-pk_range=100
4242	4107	6794	6789	6844	6409	6176	6272	6909	6914	7210	7421	7108	7035	range-covered-si.pre_range=100
4156	4025	4127	6725	6761	6322	6100	6170	6821	6802	7132	7377	7077	6996	range-covered-si_range=100
7817	7885	5667	5659	5730	5550	5427	5511	6065	5971	6093	6118	6090	5995	range-notcovered-pk.pre_range=100
6421	6323	4922	5000	5014	4636	4570	4604	4919	4917	4946	5015	4970	4973	range-notcovered-pk_range=100
3565	3494	3563	3601	3621	3476	3425	3461	3667	3657	3717	3779	3725	3714	range-notcovered-si.pre_range=100
3512	3445	3485	3530	3544	3395	3346	3381	3581	3581	3634	3693	3642	3659	range-notcovered-si_range=100
179	181	174	182	223	206	222	225	224	219	217	231	238	240	read-only.pre_range=10000
14109	14363	12086	12155	12086	11645	11603	11503	12044	11917	12013	12163	12036	12019	read-only.pre_range=100
20910	21904	16608	16478	16646	17142	16373	16193	17131	16632	16877	16579	16693	16827	read-only.pre_range=10
161	162	151	158	186	175	185	188	187	183	182	193	196	201	read-only_range=10000
12943	12987	10408	10446	10418	10406	10296	10316	10730	10595	10682	10906	10775	10876	read-only_range=100
21378	21549	16718	16091	16374	16803	16080	15966	16767	16310	16591	16218	16348	16568	read-only_range=10
1.310	1.297	1.304	1.369	1.396	1.394	1.375	1.466	1.468	1.458	1.469	1.596	1.592	1.593	scan_range=100
10672	13304	14070	13458	13440	21847	20271	19928	20400	19930	20515	20479	20462	20612	delete_range=100
7378	8707	8590	8786	8637	11681	10709	10474	11215	11086	11015	11270	10838	11100	insert_range=100
8603	10020	8849	8362	8256	10231	10459	10434	10894	10686	10837	11079	10900	11010	read-write_range=100
11258	13565	12378	11704	11900	16054	15315	15135	16029	15675	15789	16010	15887	15959	read-write_range=10
3978	4817	5161	5090	5103	13218	13104	12888	13259	12901	13139	13320	13240	13556	update-index_range=100
1044	1239	1336	1279	1273	4305	4263	4267	4368	4265	4307	4859	4824	4843	update-inlist_range=100
7198	8430	8929	8806	8684	13452	13961	13934	14358	14086	14433	15366	15097	15472	update-nonindex_range=100
15346	18143	18448	17927	17724	14971	14788	14793	15995	15743	16977	16895	16443	16986	update-one_range=100
7660	8981	9558	9428	9269	13925	13964	13868	14411	14131	14404	15294	15147	15353	update-zipf_range=100
7186	8690	9279	9188	9109	19570	19023	18937	19389	18942	19397	19659	19589	19355	write-only_range=10000
