col-1 : x.my5621_rel.z10a_bee.pk1
col-2 : x.my5631_rel.z10a_bee.pk1
col-3 : x.my5641_rel.z10a_bee.pk1
col-4 : x.my5651_rel.z10a_bee.pk1

col-1	col-2	col-3	col-4
2444	2385	2371	2303	hot-points_range=100
22192	21985	21884	22031	point-query.pre_range=100
21974	21961	21979	22003	point-query_range=100
1650	1628	1621	1608	points-covered-pk.pre_range=100
1650	1624	1621	1611	points-covered-pk_range=100
1715	1670	1665	1658	points-covered-si.pre_range=100
1642	1605	1603	1602	points-covered-si_range=100
1580	1566	1560	1552	points-notcovered-pk.pre_range=100
1584	1560	1561	1557	points-notcovered-pk_range=100
995	977	968	962	points-notcovered-si.pre_range=100
963	941	938	932	points-notcovered-si_range=100
160	161	160	158	random-points.pre_range=1000
1590	1579	1575	1562	random-points.pre_range=100
9688	9390	9411	9352	random-points.pre_range=10
160	160	160	157	random-points_range=1000
1591	1580	1569	1571	random-points_range=100
9700	9380	9434	9363	random-points_range=10
9170	8792	8635	8592	range-covered-pk.pre_range=100
9162	8765	8633	8597	range-covered-pk_range=100
9626	9247	9031	8990	range-covered-si.pre_range=100
9506	9228	9015	8984	range-covered-si_range=100
8251	7763	7645	7654	range-notcovered-pk.pre_range=100
8224	7759	7646	7650	range-notcovered-pk_range=100
1935	1892	1885	1867	range-notcovered-si.pre_range=100
1931	1886	1885	1858	range-notcovered-si_range=100
298	291	287	288	read-only.pre_range=10000
11731	11407	11413	11395	read-only.pre_range=100
18247	17869	18022	17999	read-only.pre_range=10
299	291	287	288	read-only_range=10000
11677	11377	11393	11324	read-only_range=100
18218	17774	17917	17875	read-only_range=10
3.875	3.412	3.354	3.437	scan_range=100
12432	12258	12168	12293	delete_range=100
12725	12287	12438	12219	insert_range=100
10434	9970	9762	10404	read-write_range=100
15176	14830	14769	14818	read-write_range=10
2104	2177	1997	2077	update-index_range=100
3613	3598	4257	4322	update-inlist_range=100
10687	10546	10462	10626	update-nonindex_range=100
11138	11025	10921	11071	update-one_range=100
10688	10600	10511	10690	update-zipf_range=100
13642	13794	13190	13439	write-only_range=10000
