hot-points_range=100,1999,2076,2039,1960
point-query.pre_range=100,19688,19298,20144,19146
point-query_range=100,19694,19440,20157,19035
points-covered-pk.pre_range=100,1371,1402,1395,1351
points-covered-pk_range=100,1377,1403,1396,1352
points-covered-si.pre_range=100,1504,1529,1519,1449
points-covered-si_range=100,1453,1485,1467,1409
points-notcovered-pk.pre_range=100,1322,1348,1339,1304
points-notcovered-pk_range=100,1326,1349,1341,1304
points-notcovered-si.pre_range=100,842,861,858,822
points-notcovered-si_range=100,822,841,835,802
random-points.pre_range=1000,153,160,158,153
random-points.pre_range=100,1333,1358,1352,1314
random-points.pre_range=10,7781,7736,7841,7465
random-points_range=1000,154,160,158,154
random-points_range=100,1331,1360,1353,1317
random-points_range=10,7741,7749,7830,7497
range-covered-pk.pre_range=100,7458,7452,7342,6960
range-covered-pk_range=100,7419,7373,7350,6955
range-covered-si.pre_range=100,7776,7806,7762,7362
range-covered-si_range=100,7730,7778,7746,7289
range-notcovered-pk.pre_range=100,6390,6347,6425,6089
range-notcovered-pk_range=100,6408,6335,6383,6075
range-notcovered-si.pre_range=100,1574,1618,1603,1555
range-notcovered-si_range=100,1573,1619,1601,1553
read-only.pre_range=10000,363,361,359,348
read-only.pre_range=100,11261,11219,11271,10827
read-only.pre_range=10,15635,15481,15676,15077
read-only_range=10000,364,364,359,348
read-only_range=100,11273,11219,11288,10825
read-only_range=10,15643,15486,15709,15060
scan_range=100,3.138,3.127,2.805,2.743
delete_range=100,9435,8984,8938,8989
insert_range=100,9881,9423,9296,9076
read-write_range=100,10164,10052,10135,9885
read-write_range=10,13314,13184,13300,12863
update-index_range=100,3080,2321,2561,3316
update-inlist_range=100,3356,3790,3898,3971
update-nonindex_range=100,8653,8317,8293,8424
update-one_range=100,9082,8646,8665,8803
update-zipf_range=100,8741,8301,8366,8472
write-only_range=10000,12757,12218,12364,12220
