hot-points_range=100,2444,2385,2371,2303,1999,2076,2039,1960,1673,1631,1571,1401,1528,1539
point-query.pre_range=100,22192,21985,21884,22031,19688,19298,20144,19146,17000,16538,15946,16571,15330,15094
point-query_range=100,21974,21961,21979,22003,19694,19440,20157,19035,16943,16626,16017,16475,15381,15150
points-covered-pk.pre_range=100,1650,1628,1621,1608,1371,1402,1395,1351,1211,1188,1127,1072,1132,1136
points-covered-pk_range=100,1650,1624,1621,1611,1377,1403,1396,1352,1209,1186,1131,1078,1138,1139
points-covered-si.pre_range=100,1715,1670,1665,1658,1504,1529,1519,1449,1392,1359,1315,1231,1311,1322
points-covered-si_range=100,1642,1605,1603,1602,1453,1485,1467,1409,1351,1322,1272,1195,1272,1278
points-notcovered-pk.pre_range=100,1580,1566,1560,1552,1322,1348,1339,1304,1154,1138,1079,1029,1084,1087
points-notcovered-pk_range=100,1584,1560,1561,1557,1326,1349,1341,1304,1153,1137,1082,1028,1089,1089
points-notcovered-si.pre_range=100,995,977,968,962,842,861,858,822,777,756,723,723,731,739
points-notcovered-si_range=100,963,941,938,932,822,841,835,802,759,743,705,707,712,719
random-points.pre_range=1000,160,161,160,158,153,160,158,153,135,133,128,55,129,129
random-points.pre_range=100,1590,1579,1575,1562,1333,1358,1352,1314,1166,1145,1086,1037,1092,1100
random-points.pre_range=10,9688,9390,9411,9352,7781,7736,7841,7465,6330,6289,5901,6284,5864,5905
random-points_range=1000,160,160,160,157,154,160,158,154,135,133,129,55,129,130
random-points_range=100,1591,1580,1569,1571,1331,1360,1353,1317,1167,1144,1090,1040,1101,1106
random-points_range=10,9700,9380,9434,9363,7741,7749,7830,7497,6301,6283,5919,6293,5908,5944
range-covered-pk.pre_range=100,9170,8792,8635,8592,7458,7452,7342,6960,6595,6319,6157,6085,5658,5647
range-covered-pk_range=100,9162,8765,8633,8597,7419,7373,7350,6955,6575,6326,6162,6080,5666,5647
range-covered-si.pre_range=100,9626,9247,9031,8990,7776,7806,7762,7362,7027,6789,6675,6550,6070,5994
range-covered-si_range=100,9506,9228,9015,8984,7730,7778,7746,7289,6956,6738,6635,6519,6065,5983
range-notcovered-pk.pre_range=100,8251,7763,7645,7654,6390,6347,6425,6089,5400,5404,5401,5240,5094,5038
range-notcovered-pk_range=100,8224,7759,7646,7650,6408,6335,6383,6075,5404,5402,5402,5249,5103,5003
range-notcovered-si.pre_range=100,1935,1892,1885,1867,1574,1618,1603,1555,1454,1415,1359,1456,1353,1359
range-notcovered-si_range=100,1931,1886,1885,1858,1573,1619,1601,1553,1453,1416,1360,1458,1354,1363
read-only.pre_range=10000,298,291,287,288,363,361,359,348,323,320,320,305,291,289
read-only.pre_range=100,11731,11407,11413,11395,11261,11219,11271,10827,10018,9810,9556,9496,8739,8712
read-only.pre_range=10,18247,17869,18022,17999,15635,15481,15676,15077,13759,13469,12882,12997,11923,11922
read-only_range=10000,299,291,287,288,364,364,359,348,322,319,321,305,292,289
read-only_range=100,11677,11377,11393,11324,11273,11219,11288,10825,9972,9820,9571,9481,8765,8754
read-only_range=10,18218,17774,17917,17875,15643,15486,15709,15060,13744,13462,12914,12989,11962,11948
scan_range=100,3.875,3.412,3.354,3.437,3.138,3.127,2.805,2.743,3.106,2.632,2.794,2.618,2.269,2.113
delete_range=100,12432,12258,12168,12293,9435,8984,8938,8989,7455,7317,6942,6597,6062,5998
insert_range=100,12725,12287,12438,12219,9881,9423,9296,9076,7481,7385,7010,6237,5604,5568
read-write_range=100,10434,9970,9762,10404,10164,10052,10135,9885,8926,8624,8343,8362,7679,7663
read-write_range=10,15176,14830,14769,14818,13314,13184,13300,12863,11288,10728,10272,10572,9630,9651
update-index_range=100,2104,2177,1997,2077,3080,2321,2561,3316,2136,2299,2551,2688,2259,2270
update-inlist_range=100,3613,3598,4257,4322,3356,3790,3898,3971,3275,3226,2986,3013,2665,2668
update-nonindex_range=100,10687,10546,10462,10626,8653,8317,8293,8424,6880,6719,6254,6097,5541,5520
update-one_range=100,11138,11025,10921,11071,9082,8646,8665,8803,7149,6983,6458,6205,5680,5662
update-zipf_range=100,10688,10600,10511,10690,8741,8301,8366,8472,6954,6757,6311,6107,5547,5527
write-only_range=10000,13642,13794,13190,13439,12757,12218,12364,12220,10052,9934,9327,9281,8089,8065
