Relative to: x.my5710_rel.z10a_bee.pk1
col-1 : x.my5720_rel.z10a_bee.pk1
col-2 : x.my5730_rel.z10a_bee.pk1
col-3 : x.my5744_rel.z10a_bee.pk1

col-1	col-2	col-3
1.04	1.02	0.98	hot-points_range=100
0.98	1.02	0.97	point-query.pre_range=100
0.99	1.02	0.97	point-query_range=100
1.02	1.02	0.99	points-covered-pk.pre_range=100
1.02	1.01	0.98	points-covered-pk_range=100
1.02	1.01	0.96	points-covered-si.pre_range=100
1.02	1.01	0.97	points-covered-si_range=100
1.02	1.01	0.99	points-notcovered-pk.pre_range=100
1.02	1.01	0.98	points-notcovered-pk_range=100
1.02	1.02	0.98	points-notcovered-si.pre_range=100
1.02	1.02	0.98	points-notcovered-si_range=100
1.05	1.03	1.00	random-points.pre_range=1000
1.02	1.01	0.99	random-points.pre_range=100
0.99	1.01	0.96	random-points.pre_range=10
1.04	1.03	1.00	random-points_range=1000
1.02	1.02	0.99	random-points_range=100
1.00	1.01	0.97	random-points_range=10
1.00	0.98	0.93	range-covered-pk.pre_range=100
0.99	0.99	0.94	range-covered-pk_range=100
1.00	1.00	0.95	range-covered-si.pre_range=100
1.01	1.00	0.94	range-covered-si_range=100
0.99	1.01	0.95	range-notcovered-pk.pre_range=100
0.99	1.00	0.95	range-notcovered-pk_range=100
1.03	1.02	0.99	range-notcovered-si.pre_range=100
1.03	1.02	0.99	range-notcovered-si_range=100
0.99	0.99	0.96	read-only.pre_range=10000
1.00	1.00	0.96	read-only.pre_range=100
0.99	1.00	0.96	read-only.pre_range=10
1.00	0.99	0.96	read-only_range=10000
1.00	1.00	0.96	read-only_range=100
0.99	1.00	0.96	read-only_range=10
1.00	0.89	0.87	scan_range=100
0.95	0.95	0.95	delete_range=100
0.95	0.94	0.92	insert_range=100
0.99	1.00	0.97	read-write_range=100
0.99	1.00	0.97	read-write_range=10
0.75	0.83	1.08	update-index_range=100
1.13	1.16	1.18	update-inlist_range=100
0.96	0.96	0.97	update-nonindex_range=100
0.95	0.95	0.97	update-one_range=100
0.95	0.96	0.97	update-zipf_range=100
0.96	0.97	0.96	write-only_range=10000
