hot-points_range=100,0.98,0.97,0.94,0.82,0.85,0.83,0.80,0.68,0.67,0.64,0.57,0.63,0.63
point-query.pre_range=100,0.99,0.99,0.99,0.89,0.87,0.91,0.86,0.77,0.75,0.72,0.75,0.69,0.68
point-query_range=100,1.00,1.00,1.00,0.90,0.88,0.92,0.87,0.77,0.76,0.73,0.75,0.70,0.69
points-covered-pk.pre_range=100,0.99,0.98,0.97,0.83,0.85,0.85,0.82,0.73,0.72,0.68,0.65,0.69,0.69
points-covered-pk_range=100,0.98,0.98,0.98,0.83,0.85,0.85,0.82,0.73,0.72,0.69,0.65,0.69,0.69
points-covered-si.pre_range=100,0.97,0.97,0.97,0.88,0.89,0.89,0.84,0.81,0.79,0.77,0.72,0.76,0.77
points-covered-si_range=100,0.98,0.98,0.98,0.88,0.90,0.89,0.86,0.82,0.81,0.77,0.73,0.77,0.78
points-notcovered-pk.pre_range=100,0.99,0.99,0.98,0.84,0.85,0.85,0.83,0.73,0.72,0.68,0.65,0.69,0.69
points-notcovered-pk_range=100,0.98,0.99,0.98,0.84,0.85,0.85,0.82,0.73,0.72,0.68,0.65,0.69,0.69
points-notcovered-si.pre_range=100,0.98,0.97,0.97,0.85,0.87,0.86,0.83,0.78,0.76,0.73,0.73,0.73,0.74
points-notcovered-si_range=100,0.98,0.97,0.97,0.85,0.87,0.87,0.83,0.79,0.77,0.73,0.73,0.74,0.75
random-points.pre_range=1000,1.01,1.00,0.99,0.96,1.00,0.99,0.96,0.84,0.83,0.80,0.34,0.81,0.81
random-points.pre_range=100,0.99,0.99,0.98,0.84,0.85,0.85,0.83,0.73,0.72,0.68,0.65,0.69,0.69
random-points.pre_range=10,0.97,0.97,0.97,0.80,0.80,0.81,0.77,0.65,0.65,0.61,0.65,0.61,0.61
random-points_range=1000,1.00,1.00,0.98,0.96,1.00,0.99,0.96,0.84,0.83,0.81,0.34,0.81,0.81
random-points_range=100,0.99,0.99,0.99,0.84,0.85,0.85,0.83,0.73,0.72,0.69,0.65,0.69,0.70
random-points_range=10,0.97,0.97,0.97,0.80,0.80,0.81,0.77,0.65,0.65,0.61,0.65,0.61,0.61
range-covered-pk.pre_range=100,0.96,0.94,0.94,0.81,0.81,0.80,0.76,0.72,0.69,0.67,0.66,0.62,0.62
range-covered-pk_range=100,0.96,0.94,0.94,0.81,0.80,0.80,0.76,0.72,0.69,0.67,0.66,0.62,0.62
range-covered-si.pre_range=100,0.96,0.94,0.93,0.81,0.81,0.81,0.76,0.73,0.71,0.69,0.68,0.63,0.62
range-covered-si_range=100,0.97,0.95,0.95,0.81,0.82,0.81,0.77,0.73,0.71,0.70,0.69,0.64,0.63
range-notcovered-pk.pre_range=100,0.94,0.93,0.93,0.77,0.77,0.78,0.74,0.65,0.65,0.65,0.64,0.62,0.61
range-notcovered-pk_range=100,0.94,0.93,0.93,0.78,0.77,0.78,0.74,0.66,0.66,0.66,0.64,0.62,0.61
range-notcovered-si.pre_range=100,0.98,0.97,0.96,0.81,0.84,0.83,0.80,0.75,0.73,0.70,0.75,0.70,0.70
range-notcovered-si_range=100,0.98,0.98,0.96,0.81,0.84,0.83,0.80,0.75,0.73,0.70,0.76,0.70,0.71
read-only.pre_range=10000,0.98,0.96,0.97,1.22,1.21,1.20,1.17,1.08,1.07,1.07,1.02,0.98,0.97
read-only.pre_range=100,0.97,0.97,0.97,0.96,0.96,0.96,0.92,0.85,0.84,0.81,0.81,0.74,0.74
read-only.pre_range=10,0.98,0.99,0.99,0.86,0.85,0.86,0.83,0.75,0.74,0.71,0.71,0.65,0.65
read-only_range=10000,0.97,0.96,0.96,1.22,1.22,1.20,1.16,1.08,1.07,1.07,1.02,0.98,0.97
read-only_range=100,0.97,0.98,0.97,0.97,0.96,0.97,0.93,0.85,0.84,0.82,0.81,0.75,0.75
read-only_range=10,0.98,0.98,0.98,0.86,0.85,0.86,0.83,0.75,0.74,0.71,0.71,0.66,0.66
scan_range=100,0.88,0.87,0.89,0.81,0.81,0.72,0.71,0.80,0.68,0.72,0.68,0.59,0.55
delete_range=100,0.99,0.98,0.99,0.76,0.72,0.72,0.72,0.60,0.59,0.56,0.53,0.49,0.48
insert_range=100,0.97,0.98,0.96,0.78,0.74,0.73,0.71,0.59,0.58,0.55,0.49,0.44,0.44
read-write_range=100,0.96,0.94,1.00,0.97,0.96,0.97,0.95,0.86,0.83,0.80,0.80,0.74,0.73
read-write_range=10,0.98,0.97,0.98,0.88,0.87,0.88,0.85,0.74,0.71,0.68,0.70,0.63,0.64
update-index_range=100,1.03,0.95,0.99,1.46,1.10,1.22,1.58,1.02,1.09,1.21,1.28,1.07,1.08
update-inlist_range=100,1.00,1.18,1.20,0.93,1.05,1.08,1.10,0.91,0.89,0.83,0.83,0.74,0.74
update-nonindex_range=100,0.99,0.98,0.99,0.81,0.78,0.78,0.79,0.64,0.63,0.59,0.57,0.52,0.52
update-one_range=100,0.99,0.98,0.99,0.82,0.78,0.78,0.79,0.64,0.63,0.58,0.56,0.51,0.51
update-zipf_range=100,0.99,0.98,1.00,0.82,0.78,0.78,0.79,0.65,0.63,0.59,0.57,0.52,0.52
write-only_range=10000,1.01,0.97,0.99,0.94,0.90,0.91,0.90,0.74,0.73,0.68,0.68,0.59,0.59
