hot-points_range=100,0.97,0.94,0.84,0.91,0.92
point-query.pre_range=100,0.97,0.94,0.97,0.90,0.89
point-query_range=100,0.98,0.95,0.97,0.91,0.89
points-covered-pk.pre_range=100,0.98,0.93,0.89,0.93,0.94
points-covered-pk_range=100,0.98,0.94,0.89,0.94,0.94
points-covered-si.pre_range=100,0.98,0.94,0.88,0.94,0.95
points-covered-si_range=100,0.98,0.94,0.88,0.94,0.95
points-notcovered-pk.pre_range=100,0.99,0.94,0.89,0.94,0.94
points-notcovered-pk_range=100,0.99,0.94,0.89,0.94,0.94
points-notcovered-si.pre_range=100,0.97,0.93,0.93,0.94,0.95
points-notcovered-si_range=100,0.98,0.93,0.93,0.94,0.95
random-points.pre_range=1000,0.99,0.95,0.41,0.96,0.96
random-points.pre_range=100,0.98,0.93,0.89,0.94,0.94
random-points.pre_range=10,0.99,0.93,0.99,0.93,0.93
random-points_range=1000,0.99,0.96,0.41,0.96,0.96
random-points_range=100,0.98,0.93,0.89,0.94,0.95
random-points_range=10,1.00,0.94,1.00,0.94,0.94
range-covered-pk.pre_range=100,0.96,0.93,0.92,0.86,0.86
range-covered-pk_range=100,0.96,0.94,0.92,0.86,0.86
range-covered-si.pre_range=100,0.97,0.95,0.93,0.86,0.85
range-covered-si_range=100,0.97,0.95,0.94,0.87,0.86
range-notcovered-pk.pre_range=100,1.00,1.00,0.97,0.94,0.93
range-notcovered-pk_range=100,1.00,1.00,0.97,0.94,0.93
range-notcovered-si.pre_range=100,0.97,0.93,1.00,0.93,0.93
range-notcovered-si_range=100,0.97,0.94,1.00,0.93,0.94
read-only.pre_range=10000,0.99,0.99,0.94,0.90,0.89
read-only.pre_range=100,0.98,0.95,0.95,0.87,0.87
read-only.pre_range=10,0.98,0.94,0.94,0.87,0.87
read-only_range=10000,0.99,1.00,0.95,0.91,0.90
read-only_range=100,0.98,0.96,0.95,0.88,0.88
read-only_range=10,0.98,0.94,0.95,0.87,0.87
scan_range=100,0.85,0.90,0.84,0.73,0.68
delete_range=100,0.98,0.93,0.88,0.81,0.80
insert_range=100,0.99,0.94,0.83,0.75,0.74
read-write_range=100,0.97,0.93,0.94,0.86,0.86
read-write_range=10,0.95,0.91,0.94,0.85,0.85
update-index_range=100,1.08,1.19,1.26,1.06,1.06
update-inlist_range=100,0.99,0.91,0.92,0.81,0.81
update-nonindex_range=100,0.98,0.91,0.89,0.81,0.80
update-one_range=100,0.98,0.90,0.87,0.79,0.79
update-zipf_range=100,0.97,0.91,0.88,0.80,0.79
write-only_range=10000,0.99,0.93,0.92,0.80,0.80
