Relative to: x.my8013_rel.z10a_bee.pk1
col-1 : x.my8014_rel.z10a_bee.pk1
col-2 : x.my8020_rel.z10a_bee.pk1
col-3 : x.my8028_rel.z10a_bee.pk1
col-4 : x.my8035_rel.z10a_bee.pk1
col-5 : x.my8036_rel.z10a_bee.pk1

col-1	col-2	col-3	col-4	col-5
0.97	0.94	0.84	0.91	0.92	hot-points_range=100
0.97	0.94	0.97	0.90	0.89	point-query.pre_range=100
0.98	0.95	0.97	0.91	0.89	point-query_range=100
0.98	0.93	0.89	0.93	0.94	points-covered-pk.pre_range=100
0.98	0.94	0.89	0.94	0.94	points-covered-pk_range=100
0.98	0.94	0.88	0.94	0.95	points-covered-si.pre_range=100
0.98	0.94	0.88	0.94	0.95	points-covered-si_range=100
0.99	0.94	0.89	0.94	0.94	points-notcovered-pk.pre_range=100
0.99	0.94	0.89	0.94	0.94	points-notcovered-pk_range=100
0.97	0.93	0.93	0.94	0.95	points-notcovered-si.pre_range=100
0.98	0.93	0.93	0.94	0.95	points-notcovered-si_range=100
0.99	0.95	0.41	0.96	0.96	random-points.pre_range=1000
0.98	0.93	0.89	0.94	0.94	random-points.pre_range=100
0.99	0.93	0.99	0.93	0.93	random-points.pre_range=10
0.99	0.96	0.41	0.96	0.96	random-points_range=1000
0.98	0.93	0.89	0.94	0.95	random-points_range=100
1.00	0.94	1.00	0.94	0.94	random-points_range=10
0.96	0.93	0.92	0.86	0.86	range-covered-pk.pre_range=100
0.96	0.94	0.92	0.86	0.86	range-covered-pk_range=100
0.97	0.95	0.93	0.86	0.85	range-covered-si.pre_range=100
0.97	0.95	0.94	0.87	0.86	range-covered-si_range=100
1.00	1.00	0.97	0.94	0.93	range-notcovered-pk.pre_range=100
1.00	1.00	0.97	0.94	0.93	range-notcovered-pk_range=100
0.97	0.93	1.00	0.93	0.93	range-notcovered-si.pre_range=100
0.97	0.94	1.00	0.93	0.94	range-notcovered-si_range=100
0.99	0.99	0.94	0.90	0.89	read-only.pre_range=10000
0.98	0.95	0.95	0.87	0.87	read-only.pre_range=100
0.98	0.94	0.94	0.87	0.87	read-only.pre_range=10
0.99	1.00	0.95	0.91	0.90	read-only_range=10000
0.98	0.96	0.95	0.88	0.88	read-only_range=100
0.98	0.94	0.95	0.87	0.87	read-only_range=10
0.85	0.90	0.84	0.73	0.68	scan_range=100
0.98	0.93	0.88	0.81	0.80	delete_range=100
0.99	0.94	0.83	0.75	0.74	insert_range=100
0.97	0.93	0.94	0.86	0.86	read-write_range=100
0.95	0.91	0.94	0.85	0.85	read-write_range=10
1.08	1.19	1.26	1.06	1.06	update-index_range=100
0.99	0.91	0.92	0.81	0.81	update-inlist_range=100
0.98	0.91	0.89	0.81	0.80	update-nonindex_range=100
0.98	0.90	0.87	0.79	0.79	update-one_range=100
0.97	0.91	0.88	0.80	0.79	update-zipf_range=100
0.99	0.93	0.92	0.80	0.80	write-only_range=10000
