
pgvector
M	cons	secs	size
 8	 32	 27.0	234
16	 32	 50.4	234
 8	 64	 35.0	234
16	 64	 61.7	234
32	 64	152.3	234
 8	 96	 42.3	234
16	 96	 70.7	234
32	 96	168.3	234
48	 96	313.9	234
 8	192	 63.0	234
16	192	 97.4	234
32	192	198.1	234
48	192	355.9	234
64	192	576.5	238
 8	256	 75.4	234
16	256	114.8	234
32	256	221.9	234
48	256	379.6	234
64	256	598.8	238

pgvector_halfvec
M	cons	secs	size
 8	 32	 23.1	117
16	 32	 44.5	117
 8	 64	 28.7	117
16	 64	 52.8	117
32	 64	143.5	156
 8	 96	 33.9	117
16	 96	 59.1	117
32	 96	153.7	156
48	 96	310.7	156
 8	192	 48.4	117
16	192	 78.3	117
32	192	179.3	156
48	192	342.5	156
64	192	584.9	156
 8	256	 57.2	117
16	256	 89.8	117
32	256	195.4	156
48	256	359.5	156
64	256	599.7	156

MariaDB
M	NA	secs	size
 4		 11.9	120
 5		 13.0	120
 6		 14.8	120
 8		 18.1	132
12		 27.4	132
16		 39.5	132
24		 70.9	136
32		111.8	148
48		220.5	172

