hot-points_range=100,1.00,1.01,1.00,1.01,0.99,1.01,0.97
point-query_range=100,1.01,1.01,0.99,1.00,1.00,1.00,0.99
points-covered-pk_range=100,1.00,1.00,1.00,1.01,1.01,1.02,1.00
points-covered-si_range=100,1.01,1.01,1.01,1.01,1.02,1.02,1.01
points-notcovered-pk_range=100,1.00,1.01,1.00,1.00,1.02,1.00,1.00
points-notcovered-si_range=100,1.01,1.01,1.01,1.01,1.01,1.02,1.01
random-points_range=1000,1.02,1.01,1.01,1.02,1.03,1.02,1.01
random-points_range=100,1.00,1.00,1.00,1.01,1.02,1.01,1.01
random-points_range=10,1.02,1.01,1.00,1.01,1.02,1.01,1.00
range-covered-pk_range=100,0.97,0.95,0.95,0.96,0.97,0.96,0.94
range-covered-si_range=100,0.97,0.95,0.96,0.96,0.98,0.96,0.95
range-notcovered-pk_range=100,1.00,0.99,0.98,0.98,0.98,0.98,0.97
range-notcovered-si_range=100,0.99,0.98,0.98,0.97,0.99,0.98,0.98
read-only-count_range=1000,0.99,0.97,0.97,0.98,1.00,1.00,1.00
read-only-distinct_range=1000,1.01,0.99,0.98,0.99,0.93,0.99,1.00
read-only-order_range=1000,1.01,0.99,0.99,0.99,0.94,0.99,0.99
read-only_range=10000,1.01,1.00,1.01,1.00,1.01,1.01,1.00
read-only_range=100,1.00,0.98,0.98,0.98,0.99,0.99,0.97
read-only_range=10,0.99,0.98,0.97,0.98,0.98,0.98,0.96
read-only-simple_range=1000,1.00,1.00,1.00,1.00,1.00,1.00,0.98
read-only-sum_range=1000,1.00,1.00,0.99,1.00,1.00,1.00,0.99
scan_range=100,1.04,1.06,1.08,1.06,1.06,1.06,1.06
scan.warm_range=100,1.04,1.06,1.12,1.06,1.07,1.06,1.06
delete_range=100,0.99,1.00,0.98,0.99,0.99,0.99,0.97
insert_range=100,1.01,0.99,0.97,0.97,1.00,0.97,0.98
read-write_range=100,1.00,0.99,0.98,0.99,0.99,0.98,0.97
read-write_range=10,1.00,0.98,0.97,0.98,0.98,0.98,0.97
update-index_range=100,1.01,1.00,0.99,0.98,1.00,1.00,0.98
update-inlist_range=100,1.00,0.99,0.99,0.98,0.99,1.00,0.99
update-nonindex_range=100,1.00,0.99,0.98,0.96,0.98,0.98,0.96
update-one_range=100,1.00,0.99,0.97,0.96,0.98,0.99,0.96
update-zipf_range=100,1.00,0.99,0.98,0.97,0.99,0.98,0.97
write-only_range=10000,1.00,0.99,0.98,0.98,0.99,0.99,0.98
