col-1 : x.pg174_o2nofp.x10a_c32r128.pk1
col-2 : x.pg175_o2nofp.x10a_c32r128.pk1
col-3 : x.pg18beta1_o2nofp.x10b_c32r128.pk1
col-4 : x.pg18beta1_o2nofp.x10cw4_c32r128.pk1
col-5 : x.pg18beta1_o2nofp.x10d_c32r128.pk1
col-6 : x.pg18beta2_o2nofp.x10b_c32r128.pk1
col-7 : x.pg18beta2_o2nofp.x10cw4_c32r128.pk1
col-8 : x.pg18beta2_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	-> point queries
291585	288648	289153	291961	292090	294090	291161	290813	hot-points_range=100
1075577	1062093	1054253	1055239	1054933	1061345	1059888	1055397	point-query_range=100
91923	91586	90990	91600	91100	92385	91414	91822	points-covered-pk_range=100
88733	89022	89687	92466	89092	91919	90286	90238	points-covered-si_range=100
72714	72516	72481	72542	72551	72994	72221	72854	points-notcovered-pk_range=100
70609	70691	70655	71840	70133	71596	70431	70904	points-notcovered-si_range=100
8012	8011	7970	7961	7983	8031	8040	8048	random-points_range=1000
73384	73244	73253	73260	73309	73584	73668	73904	random-points_range=100
473382	474794	473829	478721	478912	480937	479785	475548	random-points_range=10

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	-> range queries, no aggregation
424703	422043	415421	412727	413912	417779	420261	413714	range-covered-pk_range=100
413005	412756	405788	404622	404876	407706	409997	403153	range-covered-si_range=100
205690	203894	203994	203988	203642	204077	204631	203990	range-notcovered-pk_range=100
163135	161171	163467	163347	163662	163667	163541	164382	range-notcovered-si_range=100
2812	2807	2865	3014	3193	2834	2860	2860	scan_range=100

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	-> range queries, with aggregation
39969	39616	39844	39812	39954	40051	39889	40180	read-only-count_range=1000
189884	191805	191208	190611	191304	191435	191553	192336	read-only-distinct_range=1000
200583	197615	200450	199964	200332	200200	199948	200084	read-only-order_range=1000
7854	7710	7958	7908	7937	7930	7938	7956	read-only_range=10000
493386	490040	490507	488528	492659	493652	492534	492746	read-only_range=100
872694	866575	848011	852781	856224	861830	859011	854815	read-only_range=10
291362	290403	290470	288029	291707	291140	290723	290834	read-only-simple_range=1000
374073	373385	373878	372408	373799	374250	374330	375363	read-only-sum_range=1000

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	-> writes
884106	865995	849757	854095	865943	858339	857358	859172	delete_range=100
367204	362082	362186	359286	370024	364833	365907	362067	insert_range=100
519247	512482	512477	510532	510447	520540	515722	508800	read-write_range=100
753651	743025	736505	739204	739538	739509	746118	757465	read-write_range=10
357739	350900	342732	345272	346670	343315	347644	342753	update-index_range=100
120195	121033	122389	122721	121667	122589	123282	121302	update-inlist_range=100
443595	429736	427071	432317	429450	437810	429607	416733	update-nonindex_range=100
95385	91363	92101	91075	84309	93051	89413	89292	update-one_range=100
452943	434968	427806	423354	429302	429040	439867	434360	update-zipf_range=100
615494	616349	612095	611343	598209	613399	614708	585785	write-only_range=10000
