Relative to: x.pg174_o2nofp.x10a_c32r128.pk1
col-1 : x.pg175_o2nofp.x10a_c32r128.pk1
col-2 : x.pg18beta1_o2nofp.x10b_c32r128.pk1
col-3 : x.pg18beta1_o2nofp.x10cw4_c32r128.pk1
col-4 : x.pg18beta1_o2nofp.x10d_c32r128.pk1
col-5 : x.pg18beta2_o2nofp.x10b_c32r128.pk1
col-6 : x.pg18beta2_o2nofp.x10cw4_c32r128.pk1
col-7 : x.pg18beta2_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	-> point queries
0.99	0.99	1.00	1.00	1.01	1.00	1.00	hot-points_range=100
0.99	0.98	0.98	0.98	0.99	0.99	0.98	point-query_range=100
1.00	0.99	1.00	0.99	1.01	0.99	1.00	points-covered-pk_range=100
1.00	1.01	1.04	1.00	1.04	1.02	1.02	points-covered-si_range=100
1.00	1.00	1.00	1.00	1.00	0.99	1.00	points-notcovered-pk_range=100
1.00	1.00	1.02	0.99	1.01	1.00	1.00	points-notcovered-si_range=100
1.00	0.99	0.99	1.00	1.00	1.00	1.00	random-points_range=1000
1.00	1.00	1.00	1.00	1.00	1.00	1.01	random-points_range=100
1.00	1.00	1.01	1.01	1.02	1.01	1.00	random-points_range=10

col-1	col-2	col-3	col-4	col-5	col-6	col-7	-> range queries, no aggregation
0.99	0.98	0.97	0.97	0.98	0.99	0.97	range-covered-pk_range=100
1.00	0.98	0.98	0.98	0.99	0.99	0.98	range-covered-si_range=100
0.99	0.99	0.99	0.99	0.99	0.99	0.99	range-notcovered-pk_range=100
0.99	1.00	1.00	1.00	1.00	1.00	1.01	range-notcovered-si_range=100
1.00	1.02	1.07	1.14	1.01	1.02	1.02	scan_range=100

col-1	col-2	col-3	col-4	col-5	col-6	col-7	-> range queries, with aggregation
0.99	1.00	1.00	1.00	1.00	1.00	1.01	read-only-count_range=1000
1.01	1.01	1.00	1.01	1.01	1.01	1.01	read-only-distinct_range=1000
0.99	1.00	1.00	1.00	1.00	1.00	1.00	read-only-order_range=1000
0.98	1.01	1.01	1.01	1.01	1.01	1.01	read-only_range=10000
0.99	0.99	0.99	1.00	1.00	1.00	1.00	read-only_range=100
0.99	0.97	0.98	0.98	0.99	0.98	0.98	read-only_range=10
1.00	1.00	0.99	1.00	1.00	1.00	1.00	read-only-simple_range=1000
1.00	1.00	1.00	1.00	1.00	1.00	1.00	read-only-sum_range=1000

col-1	col-2	col-3	col-4	col-5	col-6	col-7	-> writes
0.98	0.96	0.97	0.98	0.97	0.97	0.97	delete_range=100
0.99	0.99	0.98	1.01	0.99	1.00	0.99	insert_range=100
0.99	0.99	0.98	0.98	1.00	0.99	0.98	read-write_range=100
0.99	0.98	0.98	0.98	0.98	0.99	1.01	read-write_range=10
0.98	0.96	0.97	0.97	0.96	0.97	0.96	update-index_range=100
1.01	1.02	1.02	1.01	1.02	1.03	1.01	update-inlist_range=100
0.97	0.96	0.97	0.97	0.99	0.97	0.94	update-nonindex_range=100
0.96	0.97	0.95	0.88	0.98	0.94	0.94	update-one_range=100
0.96	0.94	0.93	0.95	0.95	0.97	0.96	update-zipf_range=100
1.00	0.99	0.99	0.97	1.00	1.00	0.95	write-only_range=10000
