col-1 : x.pg1023_o2nofp.x10a_wm8_c32r128.pk1
col-2 : x.pg1122_o2nofp.x10a_wm8_c32r128.pk1
col-3 : x.pg174_o2nofp.x10a_wm8_c32r128.pk1

col-1	col-2	col-3
112776	113072	288533	hot-points_range=100
950932	968193	1028842	point-query_range=100
85963	88314	91812	points-covered-pk_range=100
84925	89023	92035	points-covered-si_range=100
69249	71413	72546	points-notcovered-pk_range=100
67913	70714	71857	points-notcovered-si_range=100
7737	7929	8004	random-points_range=1000
70086	72082	73280	random-points_range=100
441975	461479	476552	random-points_range=10
377733	397492	429433	range-covered-pk_range=100
362438	385683	417276	range-covered-si_range=100
198771	203817	201936	range-notcovered-pk_range=100
156123	162446	162091	range-notcovered-si_range=100
22345	21666	21557	read-only-distinct_range=8000
22828	22119	22447	read-only-order_range=8000
87546	87427	86821	read-only_range=1000
480203	487467	492890	read-only_range=100
812409	835488	867984	read-only_range=10
4689	4650	4707	read-only_range=16000
43434	43282	43857	read-only_range=2000
2216	2202	2283	read-only_range=32000
20796	20691	20179	read-only_range=4000
9909	9407	9290	read-only_range=8000
41821	38443	37197	read-only-simple_range=8000
70951	61450	57654	read-only-sum_range=8000
98500	98100	111900	scan_range=100
342775	524515	883570	delete_range=100
307458	331806	363582	insert_range=100
481484	488857	513734	read-write_range=100
667653	702045	741512	read-write_range=10
135696	175300	345221	update-index_range=100
81660	110371	119593	update-inlist_range=100
114408	215821	440745	update-nonindex_range=100
33987	55504	93024	update-one_range=100
159731	256276	437233	update-zipf_range=100
390115	466638	611474	write-only_range=10000
