Relative to: x.pg1023_o2nofp.x10a_wm32_c32r128.pk1
col-1 : x.pg1122_o2nofp.x10a_wm32_c32r128.pk1
col-2 : x.pg174_o2nofp.x10a_wm32_c32r128.pk1

col-1	col-2
1.01	2.59	hot-points_range=100
1.01	1.05	point-query_range=100
1.01	1.06	points-covered-pk_range=100
1.02	1.10	points-covered-si_range=100
1.03	1.04	points-notcovered-pk_range=100
1.03	1.07	points-notcovered-si_range=100
1.02	1.03	random-points_range=1000
1.02	1.04	random-points_range=100
1.04	1.06	random-points_range=10
1.04	1.13	range-covered-pk_range=100
1.05	1.14	range-covered-si_range=100
1.01	1.01	range-notcovered-pk_range=100
1.02	1.03	range-notcovered-si_range=100
0.97	0.96	read-only-distinct_range=8000
0.97	0.99	read-only-order_range=8000
1.00	1.00	read-only_range=1000
1.01	1.03	read-only_range=100
1.02	1.06	read-only_range=10
0.99	1.01	read-only_range=16000
0.99	1.02	read-only_range=2000
0.99	1.04	read-only_range=32000
1.00	0.97	read-only_range=4000
0.95	0.94	read-only_range=8000
0.94	0.90	read-only-simple_range=8000
0.89	0.83	read-only-sum_range=8000
1.00	1.15	scan_range=100
1.57	2.63	delete_range=100
1.06	1.16	insert_range=100
1.02	1.07	read-write_range=100
1.04	1.09	read-write_range=10
1.30	2.59	update-index_range=100
1.37	1.47	update-inlist_range=100
1.74	3.79	update-nonindex_range=100
1.27	2.02	update-one_range=100
1.70	2.98	update-zipf_range=100
1.12	1.47	write-only_range=10000
