col-1 : x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-6 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6
18078	31155	22657	21719	22955	23873	hot-points_range=100
281999	267781	238519	227903	229680	231682	point-query_range=100
16904	21288	16615	15992	17174	17467	points-covered-pk_range=100
24803	21816	17935	17349	18622	19219	points-covered-si_range=100
16648	20539	16041	15471	16556	16797	points-notcovered-pk_range=100
13839	11837	10142	9219	9953	10253	points-notcovered-si_range=100
1623	2221	913	1704	1815	1843	random-points_range=1000
16618	20688	16128	15527	16602	16885	random-points_range=100
122720	119061	103002	93525	96230	98107	random-points_range=10
149416	130059	114294	106015	105824	109033	range-covered-pk_range=100
157882	138264	124407	116325	115446	119604	range-covered-si_range=100
136983	117351	101225	94352	94560	96030	range-notcovered-pk_range=100
27289	22155	20088	16966	18572	18816	range-notcovered-si_range=100
4091	5322	4460	4252	4288	4383	read-only_range=10000
160243	183639	163325	153928	154713	157181	read-only_range=100
220746	233380	206633	195376	195235	199823	read-only_range=10
60800	54600	54500	45200	43300	45000	scan_range=100
82474	84474	81844	74437	75577	77424	delete_range=100
64437	74001	63453	58744	59859	60586	insert_range=100
147695	164729	145668	136592	137159	138574	read-write_range=100
176348	195319	170904	159561	159890	162443	read-write_range=10
11019	30038	36351	26741	27295	31647	update-index_range=100
22418	29641	28282	26333	27520	27572	update-inlist_range=100
68703	62243	54869	51278	52128	52567	update-nonindex_range=100
59770	56964	55932	52290	52294	53268	update-one_range=100
64729	62295	55146	51560	52240	52945	update-zipf_range=100
118369	149339	136086	124917	124403	126055	write-only_range=10000
