hot-points_range=100,16833,26016,19127,18366,19439,19749
point-query_range=100,225420,214602,197311,177862,180067,187518
points-covered-pk_range=100,15201,17279,13428,12893,13998,13953
points-covered-si_range=100,20220,17676,14810,13878,15285,15492
points-notcovered-pk_range=100,14714,16696,12961,12411,13444,13474
points-notcovered-si_range=100,11140,9587,8235,7424,8102,8169
random-points_range=1000,1445,1826,740,1382,1483,1483
random-points_range=100,14774,16821,13036,12484,13536,13538
random-points_range=10,100748,96114,83395,74147,77296,78414
range-covered-pk_range=100,119468,104696,92507,83336,82782,87573
range-covered-si_range=100,126628,111195,101551,91690,92247,95960
range-notcovered-pk_range=100,109643,94760,82341,74349,74664,77101
range-notcovered-si_range=100,22002,18116,16383,13730,15097,15238
read-only_range=10000,3305,4308,3584,3402,3437,3515
read-only_range=100,129229,147656,133300,122345,122038,124644
read-only_range=10,178716,187332,167915,153962,153339,158694
scan_range=100,49700,43500,43900,36200,35600,36600
delete_range=100,72602,69377,69041,61740,62596,63512
insert_range=100,69719,61501,57519,52839,53717,53862
read-write_range=100,118294,133252,118645,109772,109523,110684
read-write_range=10,152274,157321,139193,128481,127585,130173
update-index_range=100,10234,26342,30770,23962,23030,25499
update-inlist_range=100,22926,26801,26407,23785,25180,25932
update-nonindex_range=100,65280,53877,50307,46921,47380,49021
update-one_range=100,53541,52255,50688,47172,46557,47477
update-zipf_range=100,64743,54281,50619,46989,47769,49302
write-only_range=10000,120336,123082,113089,102846,102450,102540
