Relative to: x.pg1023_o2nofp.x10a_c32r128.pk1
col-1 : x.pg110_o2nofp.x10a_c32r128.pk1
col-2 : x.pg1110_o2nofp.x10a_c32r128.pk1

col-1	col-2
1.06	1.08	hot-points_range=100
1.05	1.05	point-query_range=100
1.05	1.05	points-covered-pk_range=100
1.05	1.05	points-covered-si_range=100
1.05	1.05	points-notcovered-pk_range=100
1.05	1.04	points-notcovered-si_range=100
1.04	1.04	random-points_range=1000
1.05	1.05	random-points_range=100
1.06	1.05	random-points_range=10
1.10	1.09	range-covered-pk_range=100
1.11	1.10	range-covered-si_range=100
1.05	1.05	range-notcovered-pk_range=100
1.03	1.03	range-notcovered-si_range=100
1.02	1.01	read-only_range=1000
1.04	1.03	read-only_range=100
1.04	1.03	read-only_range=10
1.19	1.17	read-only_range=16000
1.01	1.01	read-only_range=2000
1.11	1.10	read-only_range=32000
1.01	1.01	read-only_range=4000
1.01	1.01	read-only_range=8000
1.01	1.00	scan_range=100
1.05	1.04	delete_range=100
1.07	1.06	insert_range=100
1.04	1.03	read-write_range=100
1.05	1.04	read-write_range=10
1.05	1.03	update-index_range=100
1.14	1.14	update-inlist_range=100
1.06	1.04	update-nonindex_range=100
1.04	1.02	update-one_range=100
1.04	1.02	update-zipf_range=100
1.05	1.04	write-only_range=10000
