hot-points_range=100,74237,79199,77321
point-query_range=100,554203,574969,569204
points-covered-pk_range=100,46391,48631,48603
points-covered-si_range=100,45700,48171,48131
points-notcovered-pk_range=100,37131,38917,38601
points-notcovered-si_range=100,36586,38151,38073
random-points_range=1000,4218,4374,4396
random-points_range=100,37593,39326,38984
random-points_range=10,242029,255487,250734
range-covered-pk_range=100,215399,229236,230559
range-covered-si_range=100,205241,220460,222104
range-notcovered-pk_range=100,115733,119609,120758
range-notcovered-si_range=100,85454,87605,87949
read-only_range=1000,50132,50612,50780
read-only_range=100,270817,276546,276458
read-only_range=10,458488,472391,471063
read-only_range=16000,2263,2643,2650
read-only_range=2000,25215,25419,25486
read-only_range=32000,1202,1267,1278
read-only_range=4000,12274,12371,12363
read-only_range=8000,5926,5970,5957
scan_range=100,49700,49800,49400
delete_range=100,393162,452603,446175
insert_range=100,258050,280734,277203
read-write_range=100,281642,288032,287192
read-write_range=10,419939,434239,433853
update-index_range=100,139521,159946,159122
update-inlist_range=100,79587,96420,94763
update-nonindex_range=100,185452,246353,244421
update-one_range=100,70154,67352,66061
update-zipf_range=100,244223,263810,267736
write-only_range=10000,415388,442358,431478
