col-1 : x.pg1023_o2nofp.x10a_c32r128.pk1
col-2 : x.pg110_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1110_o2nofp.x10a_c32r128.pk1

col-1	col-2	col-3
112125	114923	113359	hot-points_range=100
965313	980134	988291	point-query_range=100
84649	87770	88409	points-covered-pk_range=100
84696	87598	87516	points-covered-si_range=100
68763	70651	71127	points-notcovered-pk_range=100
68040	69489	70053	points-notcovered-si_range=100
7687	7846	7892	random-points_range=1000
69737	71569	71972	random-points_range=100
449596	466662	464809	random-points_range=10
378999	410514	409473	range-covered-pk_range=100
361875	397194	396793	range-covered-si_range=100
200078	204216	206027	range-notcovered-pk_range=100
156714	160803	163064	range-notcovered-si_range=100
87463	87823	87753	read-only_range=1000
481584	491946	493207	read-only_range=100
810433	841832	849624	read-only_range=10
3807	4234	4237	read-only_range=16000
43491	43689	43506	read-only_range=2000
2080	2137	2173	read-only_range=32000
20779	20854	20756	read-only_range=4000
9895	9302	9398	read-only_range=8000
98700	98600	98700	scan_range=100
336776	534495	522724	delete_range=100
313730	336563	343379	insert_range=100
480450	492850	497385	read-write_range=100
682840	711175	704499	read-write_range=10
134750	175738	173860	update-index_range=100
81087	109849	111482	update-inlist_range=100
113457	204211	198429	update-nonindex_range=100
32016	54621	55357	update-one_range=100
148370	253420	232522	update-zipf_range=100
390803	455072	441944	write-only_range=10000
