hot-points_range=100,4540,3936,2964,2968,2908
point-query_range=100,24734,21609,17059,16457,15617
points-covered-pk_range=100,2760,2414,1994,1985,1953
points-covered-si_range=100,2822,2527,2206,2209,2156
points-notcovered-pk_range=100,2612,2317,1911,1887,1865
points-notcovered-si_range=100,1593,1413,1219,1216,1198
random-points_range=1000,262,261,220,218,217
random-points_range=100,2634,2332,1909,1893,1898
random-points_range=10,12701,11042,8792,8587,8417
range-covered-pk_range=100,13289,11066,9050,8797,8684
range-covered-si_range=100,13939,11633,9799,9594,9405
range-notcovered-pk_range=100,12005,10063,7895,7853,7650
range-notcovered-si_range=100,3024,2659,2236,2215,2218
read-only-count_range=1000,4490,3872,3131,3114,3075
read-only-distinct_range=1000,5818,8290,7380,7220,7183
read-only-order_range=1000,12981,11749,9772,9666,9418
read-only_range=10000,471,579,474,475,475
read-only_range=100,16825,15571,12921,12768,12452
read-only_range=10,22672,19385,15741,15429,14983
read-only-simple_range=1000,17151,14240,11674,11634,11383
read-only-sum_range=1000,19579,16259,13104,13154,12849
scan_range=100,6649,5577,4428,4381,4449
scan.warm_range=100,6625,5636,4500,4444,4420
delete_range=100,14152,11992,8536,8355,7829
insert_range=100,15011,12164,8236,8075,7763
read-write_range=100,15943,14873,11920,11740,11344
read-write_range=10,19799,17295,13779,13470,13045
update-index_range=100,3860,4613,3406,3418,3530
update-inlist_range=100,5980,6219,4411,4372,4216
update-nonindex_range=100,12770,11082,7941,7764,7336
update-one_range=100,13189,11495,8146,7964,7500
update-zipf_range=100,12798,11100,8007,7806,7388
write-only_range=10000,17428,16158,11991,11818,11498
