Relative to: x.my5651_rel_o2nofp.z12a_c8r32.pk1
col-1 : x.my5744_rel_o2nofp.z12a_c8r32.pk1
col-2 : x.my8045_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8408_rel_o2nofp.z12a_c8r32.pk1
col-4 : x.my9700_rel_o2nofp.z12a_c8r32.pk1

col-1	col-2	col-3	col-4
0.87	0.65	0.65	0.64	hot-points_range=100
0.87	0.69	0.67	0.63	point-query_range=100
0.87	0.72	0.72	0.71	points-covered-pk_range=100
0.90	0.78	0.78	0.76	points-covered-si_range=100
0.89	0.73	0.72	0.71	points-notcovered-pk_range=100
0.89	0.77	0.76	0.75	points-notcovered-si_range=100
1.00	0.84	0.83	0.83	random-points_range=1000
0.89	0.72	0.72	0.72	random-points_range=100
0.87	0.69	0.68	0.66	random-points_range=10
0.83	0.68	0.66	0.65	range-covered-pk_range=100
0.83	0.70	0.69	0.67	range-covered-si_range=100
0.84	0.66	0.65	0.64	range-notcovered-pk_range=100
0.88	0.74	0.73	0.73	range-notcovered-si_range=100
0.86	0.70	0.69	0.68	read-only-count_range=1000
1.42	1.27	1.24	1.23	read-only-distinct_range=1000
0.91	0.75	0.74	0.73	read-only-order_range=1000
1.23	1.01	1.01	1.01	read-only_range=10000
0.93	0.77	0.76	0.74	read-only_range=100
0.86	0.69	0.68	0.66	read-only_range=10
0.83	0.68	0.68	0.66	read-only-simple_range=1000
0.83	0.67	0.67	0.66	read-only-sum_range=1000
0.84	0.67	0.66	0.67	scan_range=100
0.85	0.68	0.67	0.67	scan.warm_range=100
0.85	0.60	0.59	0.55	delete_range=100
0.81	0.55	0.54	0.52	insert_range=100
0.93	0.75	0.74	0.71	read-write_range=100
0.87	0.70	0.68	0.66	read-write_range=10
1.20	0.88	0.89	0.91	update-index_range=100
1.04	0.74	0.73	0.71	update-inlist_range=100
0.87	0.62	0.61	0.57	update-nonindex_range=100
0.87	0.62	0.60	0.57	update-one_range=100
0.87	0.63	0.61	0.58	update-zipf_range=100
0.93	0.69	0.68	0.66	write-only_range=10000
