hot-points_range=100,0.92,1.14,1.14,1.12,1.17,1.16,1.16,1.16
point-query_range=100,0.97,0.97,0.95,0.96,0.95,0.95,0.95,0.95
points-covered-pk_range=100,0.94,1.09,1.09,1.08,1.12,1.12,1.11,1.15
points-covered-si_range=100,0.90,1.08,1.07,1.07,1.12,1.13,1.12,1.16
points-notcovered-pk_range=100,0.91,1.04,1.04,1.03,1.07,1.07,1.06,1.11
points-notcovered-si_range=100,0.88,0.96,0.96,0.95,1.00,1.01,1.00,1.06
random-points_range=1000,0.79,2.35,2.42,2.37,2.45,2.45,2.47,2.56
random-points_range=100,0.94,1.07,1.06,1.06,1.09,1.08,1.10,1.12
random-points_range=10,0.93,0.94,0.93,0.93,0.94,0.94,0.93,0.95
range-covered-pk_range=100,0.95,0.94,0.92,0.92,0.92,0.93,0.93,0.96
range-covered-si_range=100,0.96,0.96,0.94,0.93,0.93,0.94,0.93,0.95
range-notcovered-pk_range=100,0.94,0.94,0.93,0.93,0.94,0.94,0.93,0.93
range-notcovered-si_range=100,0.89,0.87,0.87,0.86,0.89,0.91,0.89,0.95
read-only-count_range=1000,0.95,0.94,0.87,0.87,0.88,0.87,0.89,0.91
read-only-distinct_range=1000,0.97,0.96,0.94,0.95,0.96,0.95,0.95,0.96
read-only-order_range=1000,0.97,0.96,0.93,0.95,0.95,0.94,0.95,0.95
read-only_range=10000,0.96,0.95,0.93,0.94,0.95,0.95,0.96,0.98
read-only_range=100,0.96,0.96,0.94,0.95,0.95,0.94,0.95,0.94
read-only_range=10,0.96,0.97,0.95,0.95,0.95,0.94,0.95,0.94
read-only-simple_range=1000,0.94,0.94,0.92,0.93,0.93,0.93,0.94,0.94
read-only-sum_range=1000,0.94,0.94,0.89,0.91,0.92,0.90,0.93,0.91
scan_range=100,0.93,0.92,0.79,0.82,0.83,0.77,0.82,0.80
scan.warm_range=100,0.92,0.91,0.78,0.81,0.82,0.77,0.81,0.80
delete_range=100,0.96,0.95,0.92,0.92,0.92,0.91,0.91,0.91
insert_range=100,0.94,0.93,0.91,0.91,0.91,0.90,0.90,0.90
read-write_range=100,0.96,0.96,0.94,0.94,0.94,0.94,0.94,0.93
read-write_range=10,0.96,0.96,0.94,0.94,0.94,0.94,0.94,0.93
update-index_range=100,0.91,0.91,0.84,0.84,0.86,0.85,0.86,0.79
update-inlist_range=100,0.94,0.95,0.92,0.91,0.92,0.91,0.91,0.91
update-nonindex_range=100,0.95,0.96,0.92,0.92,0.92,0.91,0.91,0.90
update-one_range=100,0.96,0.96,0.93,0.92,0.92,0.91,0.92,0.91
update-zipf_range=100,0.96,0.96,0.92,0.92,0.92,0.91,0.91,0.90
write-only_range=10000,0.94,0.94,0.91,0.91,0.91,0.91,0.91,0.89
